model_id,stage,metric,group,n,mean,ci_low,ci_high,mannwhitney_u,p_value
Qwen/Qwen3.5-4B,early_00_09,position_t,direct_no_ack,733,0.4303006489021283,0.411578691461221,0.45043247081049936,,
Qwen/Qwen3.5-4B,early_00_09,position_t,self_resolves,125,0.4637646369104418,0.4175011957147909,0.512754594092261,,
Qwen/Qwen3.5-4B,early_00_09,position_t,direct_vs_self_resolves_test,858,,,,42341.0,0.17531581061118517
Qwen/Qwen3.5-4B,early_00_09,oriented_position,direct_no_ack,733,0.5450142492310691,0.5251262443939417,0.5653900315904818,,
Qwen/Qwen3.5-4B,early_00_09,oriented_position,self_resolves,125,0.5198704169923768,0.47334879574216787,0.5676869006447361,,
Qwen/Qwen3.5-4B,early_00_09,oriented_position,direct_vs_self_resolves_test,789,,,,42076.0,0.3346233832435471
Qwen/Qwen3.5-4B,early_00_09,log_offaxis_ratio,direct_no_ack,733,0.7383751619059253,0.7163071025002512,0.761819718431815,,
Qwen/Qwen3.5-4B,early_00_09,log_offaxis_ratio,self_resolves,125,0.7597892301065787,0.7170285841894922,0.8040269327338296,,
Qwen/Qwen3.5-4B,early_00_09,log_offaxis_ratio,direct_vs_self_resolves_test,858,,,,41987.0,0.1352944271597091
Qwen/Qwen3.5-4B,early_00_09,offaxis_fraction,direct_no_ack,733,0.9327144455225768,0.9263832419834084,0.9388345907987461,,
Qwen/Qwen3.5-4B,early_00_09,offaxis_fraction,self_resolves,125,0.942526002340349,0.9259174166413603,0.9570223998334934,,
Qwen/Qwen3.5-4B,early_00_09,offaxis_fraction,direct_vs_self_resolves_test,858,,,,40784.0,0.049613609284484654
Qwen/Qwen3.5-4B,early_00_09,log_midpoint_distance_ratio,direct_no_ack,733,0.7688151944241831,0.7484980347237954,0.7902260845939476,,
Qwen/Qwen3.5-4B,early_00_09,log_midpoint_distance_ratio,self_resolves,125,0.7862516245466713,0.7440604385701748,0.8297724194072554,,
Qwen/Qwen3.5-4B,early_00_09,log_midpoint_distance_ratio,direct_vs_self_resolves_test,858,,,,42378.0,0.1799619983260834
Qwen/Qwen3.5-4B,late_22_31,position_t,direct_no_ack,733,0.4347012573068755,0.4020406718258612,0.4654054185132839,,
Qwen/Qwen3.5-4B,late_22_31,position_t,self_resolves,125,0.5944863501457772,0.5141050121083157,0.6815745886109678,,
Qwen/Qwen3.5-4B,late_22_31,position_t,direct_vs_self_resolves_test,858,,,,36476.0,0.0002669526789228879
Qwen/Qwen3.5-4B,late_22_31,oriented_position,direct_no_ack,733,0.5457923748747157,0.5125193094269317,0.5783240516086156,,
Qwen/Qwen3.5-4B,late_22_31,oriented_position,self_resolves,125,0.6393139252114866,0.5612040436256821,0.727978883650428,,
Qwen/Qwen3.5-4B,late_22_31,oriented_position,direct_vs_self_resolves_test,789,,,,35370.0,0.049789535597031385
Qwen/Qwen3.5-4B,late_22_31,log_offaxis_ratio,direct_no_ack,733,0.6656153000999416,0.6392722645819776,0.6939016293702437,,
Qwen/Qwen3.5-4B,late_22_31,log_offaxis_ratio,self_resolves,125,0.6434204512698628,0.5754188221572695,0.7126443576864823,,
Qwen/Qwen3.5-4B,late_22_31,log_offaxis_ratio,direct_vs_self_resolves_test,858,,,,47493.0,0.5118314233696548
Qwen/Qwen3.5-4B,late_22_31,offaxis_fraction,direct_no_ack,733,0.888275527059822,0.877671188052262,0.8993102438200329,,
Qwen/Qwen3.5-4B,late_22_31,offaxis_fraction,self_resolves,125,0.8830227857045844,0.8550661206664789,0.9098941850569344,,
Qwen/Qwen3.5-4B,late_22_31,offaxis_fraction,direct_vs_self_resolves_test,858,,,,46650.0,0.7438018232477319
