model_id,stage,metric,n_direct,n_self_resolves,direct_mean_centered,self_resolves_mean_centered,self_resolves_minus_direct,mannwhitney_u,p_value,p_value_bh
Qwen/Qwen3.5-4B,early_00_09,position_t,670,119,0.00460759794313939,-0.025941937999188088,-0.03054953594232748,41997.0,0.35218416475500314,0.6501861503169288
Qwen/Qwen3.5-4B,late_22_31,position_t,670,119,-0.004471732760917904,0.02517698277155458,0.029648715532472485,39097.0,0.7376252186269775,0.9690435376825149
Qwen/Qwen3.5-4B,middle_10_21,position_t,670,119,0.000942351876513682,-0.005305678632472033,-0.0062480305089857155,39711.0,0.9465817311493825,0.9690435376825149
Qwen/Qwen3.5-9B,early_00_09,position_t,665,135,0.0010775220061763182,-0.005307793585979685,-0.006385315592156003,44424.0,0.8499850494827268,0.9690435376825149
Qwen/Qwen3.5-9B,late_22_31,position_t,665,135,-0.004118712163174826,0.020288471026009232,0.024407183189184056,43219.0,0.49562777708205386,0.7434416656230808
Qwen/Qwen3.5-9B,middle_10_21,position_t,665,135,-0.002747464916531463,0.013533808662914306,0.016281273579445768,43062.0,0.4559571884694996,0.7295315015511993
Qwen/Qwen3.5-4B,early_00_09,log_offaxis_ratio,670,119,-0.0033089826039518024,0.01863040625754384,0.021939388861495643,36163.0,0.1061726917064395,0.5213267381619068
Qwen/Qwen3.5-4B,late_22_31,log_offaxis_ratio,670,119,-0.003215060242637928,0.018101599685440364,0.021316659928078293,37694.0,0.34344320818306684,0.6501861503169288
Qwen/Qwen3.5-4B,middle_10_21,log_offaxis_ratio,670,119,-0.004061309533639743,0.022866196533938142,0.026927506067577885,36564.0,0.14969535567040942,0.5213267381619068
Qwen/Qwen3.5-9B,early_00_09,log_offaxis_ratio,665,135,-0.002982942176796254,0.014693752204218489,0.017676694381014744,41338.0,0.14711936335942008,0.5213267381619068
Qwen/Qwen3.5-9B,late_22_31,log_offaxis_ratio,665,135,-0.0019249315571788638,0.009482070263140286,0.01140700182031915,44792.0,0.9690435376825148,0.9690435376825149
Qwen/Qwen3.5-9B,middle_10_21,log_offaxis_ratio,665,135,-0.0003575078319825969,0.0017610570982845993,0.002118564930267196,44363.0,0.8305031800661543,0.9690435376825149
Qwen/Qwen3.5-4B,early_00_09,offaxis_fraction,670,119,-0.0019264284873087146,0.01084627803778863,0.012772706525097346,30999.0,0.00010900069573293523,0.0026160166975904456
Qwen/Qwen3.5-4B,late_22_31,offaxis_fraction,670,119,-0.000693343435202028,0.0039036983326499754,0.004597041767852004,37972.0,0.40878031676350324,0.7007662573088628
Qwen/Qwen3.5-4B,middle_10_21,offaxis_fraction,670,119,-0.0023337748405036223,0.01313974069863375,0.015473515539137372,33914.0,0.009396384641610928,0.07517107713288743
Qwen/Qwen3.5-9B,early_00_09,offaxis_fraction,665,135,-0.001775398008634326,0.008745479079569234,0.01052087708820356,37340.0,0.002049374577204427,0.024592494926453125
Qwen/Qwen3.5-9B,late_22_31,offaxis_fraction,665,135,0.0016425870102478484,-0.008091261939369028,-0.009733848949616876,45278.0,0.8734193747901718,0.9690435376825149
Qwen/Qwen3.5-9B,middle_10_21,offaxis_fraction,665,135,-0.00037213772574291924,0.0018331228712521492,0.0022052605969950685,41905.0,0.22316321679853435,0.6209529453890331
Qwen/Qwen3.5-4B,early_00_09,log_midpoint_distance_ratio,670,119,-0.002581422814480644,0.01453406122438688,0.017115484038867524,36583.0,0.15205363196388946,0.5213267381619068
Qwen/Qwen3.5-4B,late_22_31,log_midpoint_distance_ratio,670,119,-0.0030439743039783196,0.017138342719877898,0.020182317023856217,37413.0,0.28460343330330684,0.6209529453890331
Qwen/Qwen3.5-4B,middle_10_21,log_midpoint_distance_ratio,670,119,-0.003190960555591328,0.01796591237181673,0.02115687292740806,37348.0,0.2720269857977864,0.6209529453890331
Qwen/Qwen3.5-9B,early_00_09,log_midpoint_distance_ratio,665,135,-0.002295061152143998,0.011305301230931555,0.013600362383075553,42207.0,0.27360795222038226,0.6209529453890331
Qwen/Qwen3.5-9B,late_22_31,log_midpoint_distance_ratio,665,135,-0.0025794319748154264,0.012706090838905601,0.015285522813721027,44609.0,0.9095832662754448,0.9690435376825149
Qwen/Qwen3.5-9B,middle_10_21,log_midpoint_distance_ratio,665,135,-0.00025610193451058936,0.0012615391588854808,0.00151764109339607,44331.0,0.8203238977600109,0.9690435376825149
