layer,metric,spearman_r,p_value,n
0,position_t,0.6241552553398892,1.7664850532395005e-94,864
0,signed_margin,0.6241552553398892,1.7664850532395005e-94,864
0,log_offaxis_ratio,0.838517237759424,1.5786902832718444e-229,864
0,offaxis_fraction,0.4973439554370754,3.525718047390805e-55,864
0,endpoint_relative_hidden,0.8434019732317825,8.769035142268316e-235,864
1,position_t,0.6943638269512855,2.612516208941171e-125,864
1,signed_margin,0.6943638269512855,2.612516208941171e-125,864
1,log_offaxis_ratio,0.8846241062863411,7.596693088786955e-288,864
1,offaxis_fraction,0.5368524273809976,1.1654538417381822e-65,864
1,endpoint_relative_hidden,0.8997754133948951,1.048082338895e-312,864
2,position_t,0.711476857402483,3.1782415512491602e-134,864
2,signed_margin,0.711476857402483,3.1782415512491602e-134,864
2,log_offaxis_ratio,0.8914425824091996,1.4155860004925657e-298,864
2,offaxis_fraction,0.549784102148485,2.1085296957655708e-69,864
2,endpoint_relative_hidden,0.9074731281224625,0.0,864
3,position_t,0.5608738727877168,9.585440747625885e-73,864
3,signed_margin,0.5608738727877168,9.585440747625885e-73,864
3,log_offaxis_ratio,0.8406309002590625,8.832295296833165e-232,864
3,offaxis_fraction,0.4824773701691832,1.4071790079957626e-51,864
3,endpoint_relative_hidden,0.9101833866566047,0.0,864
4,position_t,0.6372885767635564,1.224218528408404e-99,864
4,signed_margin,0.6372885767635564,1.224218528408404e-99,864
4,log_offaxis_ratio,0.8670384969460985,4.884123444197912e-263,864
4,offaxis_fraction,0.5293354461702876,1.4736287071862254e-63,864
4,endpoint_relative_hidden,0.9307979103826697,0.0,864
5,position_t,0.6510141282482356,2.6336684581965695e-105,864
5,signed_margin,0.6510141282482356,2.6336684581965695e-105,864
5,log_offaxis_ratio,0.8767325970033287,3.041372338158829e-276,864
5,offaxis_fraction,0.5319482678681332,2.7783431791109255e-64,864
5,endpoint_relative_hidden,0.9326476660184521,0.0,864
6,position_t,0.6921694236249256,3.2731534351544625e-124,864
6,signed_margin,0.6921694236249256,3.2731534351544625e-124,864
6,log_offaxis_ratio,0.9030640042986072,1.2523e-318,864
6,offaxis_fraction,0.5769668398463634,7.957988817933748e-78,864
6,endpoint_relative_hidden,0.9391161360759281,0.0,864
7,position_t,0.6581643026558933,2.237973793219607e-108,864
7,signed_margin,0.6581643026558933,2.237973793219607e-108,864
7,log_offaxis_ratio,0.860431862682715,1.2752342540626103e-254,864
7,offaxis_fraction,0.5903035184428562,2.9591144866257143e-82,864
7,endpoint_relative_hidden,0.8995247605290203,2.906409012467e-312,864
8,position_t,0.6710644597604658,3.904001384617381e-114,864
8,signed_margin,0.6710644597604658,3.904001384617381e-114,864
8,log_offaxis_ratio,0.8644169492837266,1.2071095846708943e-259,864
8,offaxis_fraction,0.5842535597842063,3.2065432575153706e-80,864
8,endpoint_relative_hidden,0.9019465970971002,1.36035027e-316,864
9,position_t,0.6754593504012456,3.6522104435327595e-116,864
9,signed_margin,0.6754593504012456,3.6522104435327595e-116,864
9,log_offaxis_ratio,0.8729235739466886,6.325328942617572e-271,864
9,offaxis_fraction,0.5957268263313515,4.0750216837487943e-84,864
9,endpoint_relative_hidden,0.8999733569697199,4.6747049396e-313,864
10,position_t,0.7020806308890957,2.993302069061124e-129,864
10,signed_margin,0.7020806308890957,2.993302069061124e-129,864
10,log_offaxis_ratio,0.8977156020245726,4.229270647194704e-309,864
10,offaxis_fraction,0.5899715410760359,3.8365213657641794e-82,864
10,endpoint_relative_hidden,0.9056119859402197,2e-323,864
11,position_t,0.6817775068821625,3.829025155849797e-119,864
11,signed_margin,0.6817775068821625,3.829025155849797e-119,864
11,log_offaxis_ratio,0.8090377549600317,3.750880554097262e-201,864
11,offaxis_fraction,0.4855628823888825,2.602905879315294e-52,864
11,endpoint_relative_hidden,0.8289125624864645,1.0901644403636637e-219,864
12,position_t,0.69691072947575,1.3498708314746928e-126,864
12,signed_margin,0.69691072947575,1.3498708314746928e-126,864
12,log_offaxis_ratio,0.8293844529731909,3.702906338595423e-220,864
12,offaxis_fraction,0.4847163894079814,4.142558519755088e-52,864
12,endpoint_relative_hidden,0.8468702253717558,1.2613383342877002e-238,864
13,position_t,0.6865788339729894,1.8534433227159837e-121,864
13,signed_margin,0.6865788339729894,1.8534433227159837e-121,864
13,log_offaxis_ratio,0.8584783071405553,3.2490188474222935e-252,864
13,offaxis_fraction,0.4645490667125105,1.8272392251336075e-47,864
13,endpoint_relative_hidden,0.8451465217821655,1.0523581288378064e-236,864
14,position_t,0.6876223774662479,5.739036427916185e-122,864
14,signed_margin,0.6876223774662479,5.739036427916185e-122,864
14,log_offaxis_ratio,0.8624299783209085,4.0400236439356255e-257,864
14,offaxis_fraction,0.4706254451358236,7.850738798213066e-49,864
14,endpoint_relative_hidden,0.8495923727999963,1.0416771479597596e-241,864
15,position_t,0.5063704378462012,1.873465088338622e-57,864
15,signed_margin,0.5063704378462012,1.873465088338622e-57,864
15,log_offaxis_ratio,0.6806112045105608,1.3764111931645205e-118,864
15,offaxis_fraction,0.27162928456021507,4.439043718630468e-16,864
15,endpoint_relative_hidden,0.6615372507518469,7.445544229862668e-110,864
16,position_t,0.5512704371764043,7.643098331273799e-70,864
16,signed_margin,0.5512704371764043,7.643098331273799e-70,864
16,log_offaxis_ratio,0.7477445149219574,1.8247938621641449e-155,864
16,offaxis_fraction,0.2980100893732264,3.5177843542690884e-19,864
16,endpoint_relative_hidden,0.7221762853215508,3.8813174952399913e-140,864
17,position_t,0.6025724664375961,1.6209504667918938e-86,864
17,signed_margin,0.6025724664375961,1.6209504667918938e-86,864
17,log_offaxis_ratio,0.7987568942561942,2.129374873393024e-192,864
17,offaxis_fraction,0.36269893896736677,2.952309291226917e-28,864
17,endpoint_relative_hidden,0.7852454544980951,1.223806445433733e-181,864
18,position_t,0.6221140314253798,1.0640534463582335e-93,864
18,signed_margin,0.6221140314253798,1.0640534463582335e-93,864
18,log_offaxis_ratio,0.8228769858546345,8.155144279718047e-214,864
18,offaxis_fraction,0.41759707030857535,8.741082690423828e-38,864
18,endpoint_relative_hidden,0.8385570417603452,1.4327973714994163e-229,864
19,position_t,0.5960116946530117,3.2463388756883868e-84,864
19,signed_margin,0.5960116946530117,3.2463388756883868e-84,864
19,log_offaxis_ratio,0.776055227727208,9.33928935054049e-175,864
19,offaxis_fraction,0.40320767572306426,4.12432326081456e-35,864
