model_id,target,feature_group,n_samples,positive_rate,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std
Qwen/Qwen3.5-4B,pair_choice,conflict_type_only,792,0.4810606060606061,0.6648007726043635,0.03814233609790224,0.7281078884691572,0.03698324928532561
Qwen/Qwen3.5-4B,pair_choice,axis_trajectory,792,0.4810606060606061,0.5918875388879254,0.0384558250469214,0.6314186834500483,0.04772226177329957
Qwen/Qwen3.5-4B,pair_choice,offaxis_trajectory,792,0.4810606060606061,0.5832966108993843,0.020290118144229943,0.6035517563846661,0.02143356353217398
Qwen/Qwen3.5-4B,pair_choice,full_geometry,792,0.4810606060606061,0.6172634213817142,0.036203276948322656,0.6524060413419521,0.027950346419383914
Qwen/Qwen3.5-4B,pair_choice,full_geometry_plus_type,792,0.4810606060606061,0.671702885629549,0.044828759112762816,0.7220402200619664,0.028764112598535955
Qwen/Qwen3.5-4B,behavior_1_vs_3,conflict_type_only,858,0.1456876456876457,0.7223005651448383,0.05228681274126546,0.7773778582876819,0.031416235755162836
Qwen/Qwen3.5-4B,behavior_1_vs_3,axis_trajectory,858,0.1456876456876457,0.6109205466714142,0.04075339767739276,0.6501338031888615,0.06758654213000868
Qwen/Qwen3.5-4B,behavior_1_vs_3,offaxis_trajectory,858,0.1456876456876457,0.6049636792282131,0.0650972376424595,0.6182119079421893,0.07410235167163905
Qwen/Qwen3.5-4B,behavior_1_vs_3,full_geometry,858,0.1456876456876457,0.6241003684084391,0.0536157879828396,0.6931259201835741,0.04461857579667317
Qwen/Qwen3.5-4B,behavior_1_vs_3,full_geometry_plus_type,858,0.1456876456876457,0.6731371959662683,0.04474909140347534,0.7350038526525788,0.022126900991551998
Qwen/Qwen3.5-9B,pair_choice,conflict_type_only,804,0.48880597014925375,0.6635460879048506,0.035160547455186,0.7414148890925498,0.03126786081090775
Qwen/Qwen3.5-9B,pair_choice,axis_trajectory,804,0.48880597014925375,0.6400142128408611,0.028956032730816508,0.6676904159258888,0.04773254615623832
Qwen/Qwen3.5-9B,pair_choice,offaxis_trajectory,804,0.48880597014925375,0.5973330340245901,0.027466727413938952,0.6300401280875528,0.02249943354029976
Qwen/Qwen3.5-9B,pair_choice,full_geometry,804,0.48880597014925375,0.6448960493371975,0.052592502689285836,0.7015485415713147,0.04399081871486068
Qwen/Qwen3.5-9B,pair_choice,full_geometry_plus_type,804,0.48880597014925375,0.683864292228986,0.018335081202627872,0.7571247022645168,0.019992595066212954
Qwen/Qwen3.5-9B,behavior_1_vs_3,conflict_type_only,856,0.16238317757009346,0.6928860017295201,0.036929337865373,0.7891925825793787,0.04013690900242329
Qwen/Qwen3.5-9B,behavior_1_vs_3,axis_trajectory,856,0.16238317757009346,0.6252903754897343,0.051968683200150065,0.6515346636933493,0.05155083551638939
Qwen/Qwen3.5-9B,behavior_1_vs_3,offaxis_trajectory,856,0.16238317757009346,0.5760088323484437,0.026738958600587732,0.5984924231582217,0.04840509643931659
Qwen/Qwen3.5-9B,behavior_1_vs_3,full_geometry,856,0.16238317757009346,0.611753122720464,0.025569861153936467,0.6690134935524636,0.027997722626399057
Qwen/Qwen3.5-9B,behavior_1_vs_3,full_geometry_plus_type,856,0.16238317757009346,0.6624934613906763,0.027711000011982484,0.7248944359587517,0.051507611346315506
