held_out_type,n_train,n_test,balanced_accuracy,roc_auc,model_id,target,feature_group
1,697,95,0.5826904532304725,0.6137897782063645,Qwen/Qwen3.5-4B,pair_choice,axis_trajectory
2,703,89,0.5441798941798941,0.6047619047619047,Qwen/Qwen3.5-4B,pair_choice,axis_trajectory
3,704,88,0.7609001406469761,0.7313642756680732,Qwen/Qwen3.5-4B,pair_choice,axis_trajectory
4,701,91,0.5545977011494253,0.6050156739811913,Qwen/Qwen3.5-4B,pair_choice,axis_trajectory
5,708,84,0.44047619047619047,0.3707482993197279,Qwen/Qwen3.5-4B,pair_choice,axis_trajectory
6,699,93,0.5684210526315789,0.5641148325358851,Qwen/Qwen3.5-4B,pair_choice,axis_trajectory
7,702,90,0.5163690476190477,0.5337301587301587,Qwen/Qwen3.5-4B,pair_choice,axis_trajectory
8,699,93,0.6119528619528619,0.6341189674523009,Qwen/Qwen3.5-4B,pair_choice,axis_trajectory
9,723,69,0.3153846153846154,0.41538461538461535,Qwen/Qwen3.5-4B,pair_choice,axis_trajectory
1,697,95,0.5781099324975892,0.5829315332690453,Qwen/Qwen3.5-4B,pair_choice,full_geometry
2,703,89,0.5492063492063493,0.5343915343915344,Qwen/Qwen3.5-4B,pair_choice,full_geometry
3,704,88,0.48804500703234877,0.5189873417721519,Qwen/Qwen3.5-4B,pair_choice,full_geometry
4,701,91,0.550417972831766,0.5109717868338558,Qwen/Qwen3.5-4B,pair_choice,full_geometry
5,708,84,0.4880952380952381,0.4189342403628118,Qwen/Qwen3.5-4B,pair_choice,full_geometry
6,699,93,0.40741626794258373,0.4272727272727273,Qwen/Qwen3.5-4B,pair_choice,full_geometry
7,702,90,0.5223214285714286,0.5520833333333333,Qwen/Qwen3.5-4B,pair_choice,full_geometry
8,699,93,0.6405723905723906,0.6285072951739619,Qwen/Qwen3.5-4B,pair_choice,full_geometry
9,723,69,0.48653846153846153,0.35384615384615387,Qwen/Qwen3.5-4B,pair_choice,full_geometry
1,697,95,0.5781099324975892,0.5829315332690453,Qwen/Qwen3.5-4B,pair_choice,full_geometry_plus_type
2,703,89,0.5492063492063493,0.5343915343915344,Qwen/Qwen3.5-4B,pair_choice,full_geometry_plus_type
3,704,88,0.48804500703234877,0.5189873417721519,Qwen/Qwen3.5-4B,pair_choice,full_geometry_plus_type
4,701,91,0.550417972831766,0.5109717868338558,Qwen/Qwen3.5-4B,pair_choice,full_geometry_plus_type
5,708,84,0.4880952380952381,0.4189342403628118,Qwen/Qwen3.5-4B,pair_choice,full_geometry_plus_type
6,699,93,0.40741626794258373,0.4272727272727273,Qwen/Qwen3.5-4B,pair_choice,full_geometry_plus_type
7,702,90,0.5223214285714286,0.5520833333333333,Qwen/Qwen3.5-4B,pair_choice,full_geometry_plus_type
8,699,93,0.6405723905723906,0.6285072951739619,Qwen/Qwen3.5-4B,pair_choice,full_geometry_plus_type
9,723,69,0.48653846153846153,0.35384615384615387,Qwen/Qwen3.5-4B,pair_choice,full_geometry_plus_type
1,758,100,0.41423519009725907,0.41290893015030944,Qwen/Qwen3.5-4B,behavior_1_vs_3,axis_trajectory
2,758,100,0.36684782608695654,0.358695652173913,Qwen/Qwen3.5-4B,behavior_1_vs_3,axis_trajectory
3,758,100,0.563573883161512,0.5326460481099656,Qwen/Qwen3.5-4B,behavior_1_vs_3,axis_trajectory
4,759,99,0.5206043956043955,0.4642857142857143,Qwen/Qwen3.5-4B,behavior_1_vs_3,axis_trajectory
5,759,99,0.615979381443299,0.7783505154639175,Qwen/Qwen3.5-4B,behavior_1_vs_3,axis_trajectory
6,758,100,0.6055555555555556,0.6188888888888889,Qwen/Qwen3.5-4B,behavior_1_vs_3,axis_trajectory
7,762,96,0.4578544061302682,0.4342273307790549,Qwen/Qwen3.5-4B,behavior_1_vs_3,axis_trajectory
8,764,94,0.5152777777777777,0.5412037037037036,Qwen/Qwen3.5-4B,behavior_1_vs_3,axis_trajectory
9,788,70,0.5918803418803419,0.5534188034188035,Qwen/Qwen3.5-4B,behavior_1_vs_3,axis_trajectory
1,758,100,0.5238726790450928,0.5402298850574713,Qwen/Qwen3.5-4B,behavior_1_vs_3,full_geometry
2,758,100,0.6793478260869565,0.6467391304347826,Qwen/Qwen3.5-4B,behavior_1_vs_3,full_geometry
3,758,100,0.5274914089347079,0.6013745704467354,Qwen/Qwen3.5-4B,behavior_1_vs_3,full_geometry
4,759,99,0.7026098901098901,0.695054945054945,Qwen/Qwen3.5-4B,behavior_1_vs_3,full_geometry
5,759,99,0.41237113402061853,0.4587628865979381,Qwen/Qwen3.5-4B,behavior_1_vs_3,full_geometry
6,758,100,0.42777777777777776,0.48555555555555563,Qwen/Qwen3.5-4B,behavior_1_vs_3,full_geometry
7,762,96,0.42337164750957856,0.4342273307790549,Qwen/Qwen3.5-4B,behavior_1_vs_3,full_geometry
8,764,94,0.5865740740740741,0.625,Qwen/Qwen3.5-4B,behavior_1_vs_3,full_geometry
9,788,70,0.5993589743589743,0.5747863247863247,Qwen/Qwen3.5-4B,behavior_1_vs_3,full_geometry
1,758,100,0.5238726790450928,0.5402298850574713,Qwen/Qwen3.5-4B,behavior_1_vs_3,full_geometry_plus_type
2,758,100,0.6793478260869565,0.6467391304347826,Qwen/Qwen3.5-4B,behavior_1_vs_3,full_geometry_plus_type
3,758,100,0.5274914089347079,0.6013745704467354,Qwen/Qwen3.5-4B,behavior_1_vs_3,full_geometry_plus_type
4,759,99,0.7026098901098901,0.695054945054945,Qwen/Qwen3.5-4B,behavior_1_vs_3,full_geometry_plus_type
