model_id,layer,conflict_type_idx,metric,n,roc_auc
Qwen/Qwen3.5-4B,0,1,position_t,95,0.6171648987463838
Qwen/Qwen3.5-4B,0,1,log_offaxis_ratio,95,0.5038572806171648
Qwen/Qwen3.5-4B,0,1,offaxis_fraction,95,0.4088717454194793
Qwen/Qwen3.5-4B,0,2,position_t,89,0.5354497354497355
Qwen/Qwen3.5-4B,0,2,log_offaxis_ratio,89,0.4671957671957672
Qwen/Qwen3.5-4B,0,2,offaxis_fraction,89,0.4724867724867725
Qwen/Qwen3.5-4B,0,3,position_t,88,0.819971870604782
Qwen/Qwen3.5-4B,0,3,log_offaxis_ratio,88,0.7482419127988749
Qwen/Qwen3.5-4B,0,3,offaxis_fraction,88,0.5288326300984529
Qwen/Qwen3.5-4B,0,4,position_t,91,0.5888192267502612
Qwen/Qwen3.5-4B,0,4,log_offaxis_ratio,91,0.5355276907001045
Qwen/Qwen3.5-4B,0,4,offaxis_fraction,91,0.49320794148380354
Qwen/Qwen3.5-4B,0,5,position_t,84,0.45408163265306123
Qwen/Qwen3.5-4B,0,5,log_offaxis_ratio,84,0.6678004535147392
Qwen/Qwen3.5-4B,0,5,offaxis_fraction,84,0.6315192743764173
Qwen/Qwen3.5-4B,0,6,position_t,93,0.775598086124402
Qwen/Qwen3.5-4B,0,6,log_offaxis_ratio,93,0.721531100478469
Qwen/Qwen3.5-4B,0,6,offaxis_fraction,93,0.7177033492822966
Qwen/Qwen3.5-4B,0,7,position_t,90,0.5322420634920635
Qwen/Qwen3.5-4B,0,7,log_offaxis_ratio,90,0.5213293650793651
Qwen/Qwen3.5-4B,0,7,offaxis_fraction,90,0.4697420634920635
Qwen/Qwen3.5-4B,0,8,position_t,93,0.5364758698092031
Qwen/Qwen3.5-4B,0,8,log_offaxis_ratio,93,0.4034792368125702
Qwen/Qwen3.5-4B,0,8,offaxis_fraction,93,0.4264870931537598
Qwen/Qwen3.5-4B,0,9,position_t,69,0.45769230769230773
Qwen/Qwen3.5-4B,0,9,log_offaxis_ratio,69,0.3115384615384616
