model_id,stage,conflict_type_idx,metric,n,new_rate,roc_auc
Qwen/Qwen3.5-4B,early_00_09,1,position_t,95,0.35789473684210527,0.6224686595949855
Qwen/Qwen3.5-4B,early_00_09,1,log_offaxis_ratio,95,0.35789473684210527,0.540983606557377
Qwen/Qwen3.5-4B,early_00_09,1,offaxis_fraction,95,0.35789473684210527,0.5192864030858244
Qwen/Qwen3.5-4B,early_00_09,2,position_t,89,0.39325842696629215,0.6037037037037036
Qwen/Qwen3.5-4B,early_00_09,2,log_offaxis_ratio,89,0.39325842696629215,0.41851851851851857
Qwen/Qwen3.5-4B,early_00_09,2,offaxis_fraction,89,0.39325842696629215,0.43333333333333335
Qwen/Qwen3.5-4B,early_00_09,3,position_t,88,0.10227272727272728,0.5921237693389592
Qwen/Qwen3.5-4B,early_00_09,3,log_offaxis_ratio,88,0.10227272727272728,0.679324894514768
Qwen/Qwen3.5-4B,early_00_09,3,offaxis_fraction,88,0.10227272727272728,0.5063291139240507
Qwen/Qwen3.5-4B,early_00_09,4,position_t,91,0.3626373626373626,0.5182863113897597
Qwen/Qwen3.5-4B,early_00_09,4,log_offaxis_ratio,91,0.3626373626373626,0.5679205851619645
Qwen/Qwen3.5-4B,early_00_09,4,offaxis_fraction,91,0.3626373626373626,0.5083594566353187
Qwen/Qwen3.5-4B,early_00_09,5,position_t,84,0.5,0.528344671201814
Qwen/Qwen3.5-4B,early_00_09,5,log_offaxis_ratio,84,0.5,0.6513605442176871
Qwen/Qwen3.5-4B,early_00_09,5,offaxis_fraction,84,0.5,0.6337868480725622
Qwen/Qwen3.5-4B,early_00_09,6,position_t,93,0.5913978494623656,0.7258373205741627
Qwen/Qwen3.5-4B,early_00_09,6,log_offaxis_ratio,93,0.5913978494623656,0.6794258373205742
Qwen/Qwen3.5-4B,early_00_09,6,offaxis_fraction,93,0.5913978494623656,0.6775119617224881
Qwen/Qwen3.5-4B,early_00_09,7,position_t,90,0.4666666666666667,0.5104166666666666
Qwen/Qwen3.5-4B,early_00_09,7,log_offaxis_ratio,90,0.4666666666666667,0.5252976190476191
Qwen/Qwen3.5-4B,early_00_09,7,offaxis_fraction,90,0.4666666666666667,0.5133928571428572
Qwen/Qwen3.5-4B,early_00_09,8,position_t,93,0.7096774193548387,0.5836139169472503
Qwen/Qwen3.5-4B,early_00_09,8,log_offaxis_ratio,93,0.7096774193548387,0.46745230078563416
Qwen/Qwen3.5-4B,early_00_09,8,offaxis_fraction,93,0.7096774193548387,0.5129068462401796
Qwen/Qwen3.5-4B,early_00_09,9,position_t,69,0.9420289855072463,0.4923076923076923
Qwen/Qwen3.5-4B,early_00_09,9,log_offaxis_ratio,69,0.9420289855072463,0.2846153846153846
Qwen/Qwen3.5-4B,early_00_09,9,offaxis_fraction,69,0.9420289855072463,0.34615384615384615
Qwen/Qwen3.5-4B,late_22_31,1,position_t,95,0.35789473684210527,0.4792671166827387
Qwen/Qwen3.5-4B,late_22_31,1,log_offaxis_ratio,95,0.35789473684210527,0.6412729026036644
Qwen/Qwen3.5-4B,late_22_31,1,offaxis_fraction,95,0.35789473684210527,0.624397299903568
Qwen/Qwen3.5-4B,late_22_31,2,position_t,89,0.39325842696629215,0.6047619047619048
Qwen/Qwen3.5-4B,late_22_31,2,log_offaxis_ratio,89,0.39325842696629215,0.5486772486772488
Qwen/Qwen3.5-4B,late_22_31,2,offaxis_fraction,89,0.39325842696629215,0.5804232804232805
Qwen/Qwen3.5-4B,late_22_31,3,position_t,88,0.10227272727272728,0.459915611814346
Qwen/Qwen3.5-4B,late_22_31,3,log_offaxis_ratio,88,0.10227272727272728,0.5358649789029535
Qwen/Qwen3.5-4B,late_22_31,3,offaxis_fraction,88,0.10227272727272728,0.4894514767932489
Qwen/Qwen3.5-4B,late_22_31,4,position_t,91,0.3626373626373626,0.6650992685475444
Qwen/Qwen3.5-4B,late_22_31,4,log_offaxis_ratio,91,0.3626373626373626,0.38662486938349006
Qwen/Qwen3.5-4B,late_22_31,4,offaxis_fraction,91,0.3626373626373626,0.4649947753396029
Qwen/Qwen3.5-4B,late_22_31,5,position_t,84,0.5,0.39569160997732433
Qwen/Qwen3.5-4B,late_22_31,5,log_offaxis_ratio,84,0.5,0.6592970521541951
Qwen/Qwen3.5-4B,late_22_31,5,offaxis_fraction,84,0.5,0.594671201814059
Qwen/Qwen3.5-4B,late_22_31,6,position_t,93,0.5913978494623656,0.7574162679425837
Qwen/Qwen3.5-4B,late_22_31,6,log_offaxis_ratio,93,0.5913978494623656,0.545933014354067
Qwen/Qwen3.5-4B,late_22_31,6,offaxis_fraction,93,0.5913978494623656,0.4885167464114833
Qwen/Qwen3.5-4B,late_22_31,7,position_t,90,0.4666666666666667,0.4623015873015873
Qwen/Qwen3.5-4B,late_22_31,7,log_offaxis_ratio,90,0.4666666666666667,0.4211309523809524
Qwen/Qwen3.5-4B,late_22_31,7,offaxis_fraction,90,0.4666666666666667,0.44494047619047616
Qwen/Qwen3.5-4B,late_22_31,8,position_t,93,0.7096774193548387,0.589786756453423
Qwen/Qwen3.5-4B,late_22_31,8,log_offaxis_ratio,93,0.7096774193548387,0.4758698092031426
Qwen/Qwen3.5-4B,late_22_31,8,offaxis_fraction,93,0.7096774193548387,0.4506172839506173
Qwen/Qwen3.5-4B,late_22_31,9,position_t,69,0.9420289855072463,0.41538461538461535
Qwen/Qwen3.5-4B,late_22_31,9,log_offaxis_ratio,69,0.9420289855072463,0.5346153846153846
Qwen/Qwen3.5-4B,late_22_31,9,offaxis_fraction,69,0.9420289855072463,0.40769230769230774
Qwen/Qwen3.5-4B,middle_10_21,1,position_t,95,0.35789473684210527,0.577145612343298
Qwen/Qwen3.5-4B,middle_10_21,1,log_offaxis_ratio,95,0.35789473684210527,0.6229508196721312
Qwen/Qwen3.5-4B,middle_10_21,1,offaxis_fraction,95,0.35789473684210527,0.5665380906460946
Qwen/Qwen3.5-4B,middle_10_21,2,position_t,89,0.39325842696629215,0.5513227513227513
Qwen/Qwen3.5-4B,middle_10_21,2,log_offaxis_ratio,89,0.39325842696629215,0.5201058201058202
Qwen/Qwen3.5-4B,middle_10_21,2,offaxis_fraction,89,0.39325842696629215,0.5677248677248677
Qwen/Qwen3.5-4B,middle_10_21,3,position_t,88,0.10227272727272728,0.5147679324894514
Qwen/Qwen3.5-4B,middle_10_21,3,log_offaxis_ratio,88,0.10227272727272728,0.7018284106891702
Qwen/Qwen3.5-4B,middle_10_21,3,offaxis_fraction,88,0.10227272727272728,0.6047819971870605
Qwen/Qwen3.5-4B,middle_10_21,4,position_t,91,0.3626373626373626,0.5668756530825496
Qwen/Qwen3.5-4B,middle_10_21,4,log_offaxis_ratio,91,0.3626373626373626,0.4608150470219436
Qwen/Qwen3.5-4B,middle_10_21,4,offaxis_fraction,91,0.3626373626373626,0.5088819226750261
