component,singular_value,label_correlation,abs_label_correlation,selected,model_id,layer
0,0.5972955666154736,-0.11733119033797788,0.11733119033797788,False,Qwen/Qwen3.5-9B,0
1,0.44759768003512423,0.18967813985219645,0.18967813985219645,True,Qwen/Qwen3.5-9B,0
2,0.3474717364239559,-0.0799474531384451,0.0799474531384451,False,Qwen/Qwen3.5-9B,0
3,0.26976106563519336,0.049699605560002996,0.049699605560002996,False,Qwen/Qwen3.5-9B,0
4,0.26259874375635905,0.17475897191187545,0.17475897191187545,True,Qwen/Qwen3.5-9B,0
5,0.24577541556452587,-0.0185906798212151,0.0185906798212151,False,Qwen/Qwen3.5-9B,0
6,0.21663543413693165,-0.08930848099284029,0.08930848099284029,False,Qwen/Qwen3.5-9B,0
7,0.20149764210470686,-0.04978900973943007,0.04978900973943007,False,Qwen/Qwen3.5-9B,0
8,0.1948472670944261,-0.024824137529544592,0.024824137529544592,False,Qwen/Qwen3.5-9B,0
9,0.18005075704034645,0.034104954031574555,0.034104954031574555,False,Qwen/Qwen3.5-9B,0
10,0.17544034684211676,0.025126475917785305,0.025126475917785305,False,Qwen/Qwen3.5-9B,0
11,0.1682929841879104,-0.03522347067093004,0.03522347067093004,False,Qwen/Qwen3.5-9B,0
12,0.16530592817819828,0.0656389229592502,0.0656389229592502,False,Qwen/Qwen3.5-9B,0
13,0.1592706966359916,-0.08325720978614591,0.08325720978614591,False,Qwen/Qwen3.5-9B,0
14,0.14814497493048914,-0.0030572852849910415,0.0030572852849910415,False,Qwen/Qwen3.5-9B,0
15,0.14323982338492128,-0.07369730667494226,0.07369730667494226,False,Qwen/Qwen3.5-9B,0
0,14.511863693359262,-0.12742303657104645,0.12742303657104645,False,Qwen/Qwen3.5-9B,8
1,12.645378883158992,0.07556388220119138,0.07556388220119138,False,Qwen/Qwen3.5-9B,8
2,11.387481582216106,-0.0391049366594151,0.0391049366594151,False,Qwen/Qwen3.5-9B,8
3,9.577410021292293,0.044528540287068846,0.044528540287068846,False,Qwen/Qwen3.5-9B,8
4,8.566270977295959,-0.234403370475354,0.234403370475354,True,Qwen/Qwen3.5-9B,8
5,6.93426632074051,0.03485274663765836,0.03485274663765836,False,Qwen/Qwen3.5-9B,8
6,6.714409699343015,0.16598448156922102,0.16598448156922102,True,Qwen/Qwen3.5-9B,8
7,6.609164812197683,-0.026291014950343826,0.026291014950343826,False,Qwen/Qwen3.5-9B,8
8,5.902024237975157,-0.010282495276064629,0.010282495276064629,False,Qwen/Qwen3.5-9B,8
9,5.698823626684375,-0.1624251360699857,0.1624251360699857,False,Qwen/Qwen3.5-9B,8
10,5.310359801996194,-0.07801386386371074,0.07801386386371074,False,Qwen/Qwen3.5-9B,8
11,4.6860348187031,-0.0006045009989903404,0.0006045009989903404,False,Qwen/Qwen3.5-9B,8
12,4.6022810714064475,0.008822507436235635,0.008822507436235635,False,Qwen/Qwen3.5-9B,8
13,4.486928722687166,-0.08532606498457752,0.08532606498457752,False,Qwen/Qwen3.5-9B,8
14,4.330367199884715,-0.09753480361389917,0.09753480361389917,False,Qwen/Qwen3.5-9B,8
15,3.8689380426201434,-0.0573586704567621,0.0573586704567621,False,Qwen/Qwen3.5-9B,8
0,75.05738511808771,0.03304594079841373,0.03304594079841373,False,Qwen/Qwen3.5-9B,16
1,68.82265319639535,-0.141062793842413,0.141062793842413,False,Qwen/Qwen3.5-9B,16
2,63.99304610731423,-0.17176546329668035,0.17176546329668035,True,Qwen/Qwen3.5-9B,16
3,55.612327477354874,-0.20195202157252778,0.20195202157252778,True,Qwen/Qwen3.5-9B,16
4,45.12007327327064,-0.05837709990433663,0.05837709990433663,False,Qwen/Qwen3.5-9B,16
5,38.45945592772235,0.05548896739142762,0.05548896739142762,False,Qwen/Qwen3.5-9B,16
6,37.07587760816081,0.11429519335368601,0.11429519335368601,False,Qwen/Qwen3.5-9B,16
7,33.871993517837154,0.11693544501031054,0.11693544501031054,False,Qwen/Qwen3.5-9B,16
8,32.34478329514691,0.0415504569976666,0.0415504569976666,False,Qwen/Qwen3.5-9B,16
9,30.260120507855618,0.06287224773349834,0.06287224773349834,False,Qwen/Qwen3.5-9B,16
10,28.19505579544006,0.020299076490714923,0.020299076490714923,False,Qwen/Qwen3.5-9B,16
11,27.34506427024926,-0.04950771471222156,0.04950771471222156,False,Qwen/Qwen3.5-9B,16
12,26.619786778749756,0.07991075676038953,0.07991075676038953,False,Qwen/Qwen3.5-9B,16
13,24.5865437000806,-0.05768850016995404,0.05768850016995404,False,Qwen/Qwen3.5-9B,16
14,22.83315555134804,-0.06903009635234961,0.06903009635234961,False,Qwen/Qwen3.5-9B,16
15,21.50733401617477,-0.07216407207142304,0.07216407207142304,False,Qwen/Qwen3.5-9B,16
0,241.063258752988,0.029052460317684044,0.029052460317684044,False,Qwen/Qwen3.5-9B,24
1,236.40788191047835,-0.144244304342487,0.144244304342487,True,Qwen/Qwen3.5-9B,24
2,209.12239746499017,0.05322682647211506,0.05322682647211506,False,Qwen/Qwen3.5-9B,24
3,155.67259042603578,-0.2017206023697991,0.2017206023697991,True,Qwen/Qwen3.5-9B,24
4,146.08362146580626,-0.04586182930709689,0.04586182930709689,False,Qwen/Qwen3.5-9B,24
5,133.68523256087906,0.12205023815985823,0.12205023815985823,False,Qwen/Qwen3.5-9B,24
6,129.32868919032285,0.0010177273247416823,0.0010177273247416823,False,Qwen/Qwen3.5-9B,24
7,127.85890813195357,0.06934814038965242,0.06934814038965242,False,Qwen/Qwen3.5-9B,24
