model_id,conflict_type_idx,bootstrap_idx,space,overlap_with_reference
Qwen/Qwen3.5-4B,1,0,raw,0.6146393587594423
Qwen/Qwen3.5-4B,1,0,label_residualized,0.49122734778640564
Qwen/Qwen3.5-4B,1,1,raw,0.5106209622287279
Qwen/Qwen3.5-4B,1,1,label_residualized,0.4962314531357115
Qwen/Qwen3.5-4B,1,2,raw,0.7872792877845555
Qwen/Qwen3.5-4B,1,2,label_residualized,0.5345723488861871
Qwen/Qwen3.5-4B,1,3,raw,0.27412848801167145
Qwen/Qwen3.5-4B,1,3,label_residualized,0.4788612034792533
Qwen/Qwen3.5-4B,1,4,raw,0.15344663708419615
Qwen/Qwen3.5-4B,1,4,label_residualized,0.0737716517679151
Qwen/Qwen3.5-4B,1,5,raw,0.7382536288762233
Qwen/Qwen3.5-4B,1,5,label_residualized,0.5202707470469825
Qwen/Qwen3.5-4B,1,6,raw,0.7365784096446732
Qwen/Qwen3.5-4B,1,6,label_residualized,0.9461746684352847
Qwen/Qwen3.5-4B,1,7,raw,0.7955134422962996
Qwen/Qwen3.5-4B,1,7,label_residualized,0.9534413850246068
Qwen/Qwen3.5-4B,1,8,raw,0.2603594831718253
Qwen/Qwen3.5-4B,1,8,label_residualized,0.4741092367175689
Qwen/Qwen3.5-4B,1,9,raw,0.8120657050761872
Qwen/Qwen3.5-4B,1,9,label_residualized,0.9617145566294871
Qwen/Qwen3.5-4B,1,10,raw,0.1312490135158411
Qwen/Qwen3.5-4B,1,10,label_residualized,0.04048198183832737
Qwen/Qwen3.5-4B,1,11,raw,0.7652280506412283
Qwen/Qwen3.5-4B,1,11,label_residualized,0.9430019949075311
Qwen/Qwen3.5-4B,1,12,raw,0.46965772978857334
Qwen/Qwen3.5-4B,1,12,label_residualized,0.49189989457508804
Qwen/Qwen3.5-4B,1,13,raw,0.5715113095031874
Qwen/Qwen3.5-4B,1,13,label_residualized,0.6097960364761459
Qwen/Qwen3.5-4B,1,14,raw,0.6991766943743711
Qwen/Qwen3.5-4B,1,14,label_residualized,0.5203241866427875
Qwen/Qwen3.5-4B,1,15,raw,0.5166647547523313
Qwen/Qwen3.5-4B,1,15,label_residualized,0.4959129347947277
Qwen/Qwen3.5-4B,1,16,raw,0.5515413385842444
Qwen/Qwen3.5-4B,1,16,label_residualized,0.6236504843332991
Qwen/Qwen3.5-4B,1,17,raw,0.7468001974730332
Qwen/Qwen3.5-4B,1,17,label_residualized,0.5280106551231413
Qwen/Qwen3.5-4B,1,18,raw,0.5454997959206784
Qwen/Qwen3.5-4B,1,18,label_residualized,0.5813324923871419
Qwen/Qwen3.5-4B,1,19,raw,0.17962326250493302
Qwen/Qwen3.5-4B,1,19,label_residualized,0.05120174915933317
Qwen/Qwen3.5-4B,2,0,raw,0.4905827627465999
Qwen/Qwen3.5-4B,2,0,label_residualized,0.5044189328429948
Qwen/Qwen3.5-4B,2,1,raw,0.271052365658868
Qwen/Qwen3.5-4B,2,1,label_residualized,0.29641763172090985
Qwen/Qwen3.5-4B,2,2,raw,0.512454749429382
Qwen/Qwen3.5-4B,2,2,label_residualized,0.8099132130654363
Qwen/Qwen3.5-4B,2,3,raw,0.7771842679122237
Qwen/Qwen3.5-4B,2,3,label_residualized,0.7844781131966448
Qwen/Qwen3.5-4B,2,4,raw,0.770253188931689
Qwen/Qwen3.5-4B,2,4,label_residualized,0.8365006941975939
Qwen/Qwen3.5-4B,2,5,raw,0.4741185542815675
Qwen/Qwen3.5-4B,2,5,label_residualized,0.37948124266504174
Qwen/Qwen3.5-4B,2,6,raw,0.34008629562022274
Qwen/Qwen3.5-4B,2,6,label_residualized,0.2134136309594136
Qwen/Qwen3.5-4B,2,7,raw,0.8263112219166104
Qwen/Qwen3.5-4B,2,7,label_residualized,0.8469400245572735
Qwen/Qwen3.5-4B,2,8,raw,0.865790749917313
Qwen/Qwen3.5-4B,2,8,label_residualized,0.9403137350150497
Qwen/Qwen3.5-4B,2,9,raw,0.4649142182826957
Qwen/Qwen3.5-4B,2,9,label_residualized,0.47785919417276607
Qwen/Qwen3.5-4B,2,10,raw,0.6329412275115288
Qwen/Qwen3.5-4B,2,10,label_residualized,0.5248473649848421
Qwen/Qwen3.5-4B,2,11,raw,0.4314816212920378
