layer,space,spearman_r,p_value,n_pairs
0,label_residualized,0.37194337194337196,0.025501319756529438,36
0,raw,0.3104247104247104,0.06538259334421448,36
8,label_residualized,0.27207207207207207,0.10843466561433564,36
8,raw,0.6175032175032176,6.0197240049025755e-05,36
16,label_residualized,0.18996138996138998,0.26713451192180987,36
16,raw,0.2084942084942085,0.22235817752746048,36
24,label_residualized,0.25199485199485205,0.13816598703814836,36
24,raw,0.6136422136422137,6.894060797450349e-05,36
31,label_residualized,0.6151866151866151,6.531435515246983e-05,36
31,raw,0.7981981981981981,5.498301346885551e-09,36
