conflict_type_idx,sample_id,hidden_row,pair_label,pair_label_name,behavior_label,behavior_label_name,layer,tsne_x,tsne_y
1,1,0,2,org,1,direct_answer_no_conflict_ack,0,1.1524559,19.596138
1,2,1,2,org,1,direct_answer_no_conflict_ack,0,-0.48116735,34.729984
1,3,2,1,new,1,direct_answer_no_conflict_ack,0,-11.705418,15.724268
1,4,3,1,new,1,direct_answer_no_conflict_ack,0,-5.298102,22.854391
1,5,4,2,org,1,direct_answer_no_conflict_ack,0,-27.427078,13.970541
1,6,5,1,new,1,direct_answer_no_conflict_ack,0,2.3137782,12.126358
1,7,6,2,org,1,direct_answer_no_conflict_ack,0,-9.069536,20.139677
1,8,7,1,new,1,direct_answer_no_conflict_ack,0,-17.406513,19.511913
1,9,8,1,new,1,direct_answer_no_conflict_ack,0,-21.41816,24.830542
1,10,9,1,new,1,direct_answer_no_conflict_ack,0,-30.024502,9.985191
1,11,10,1,new,1,direct_answer_no_conflict_ack,0,-3.3020873,28.497257
1,12,11,2,org,1,direct_answer_no_conflict_ack,0,-10.390145,23.2472
1,13,12,2,org,1,direct_answer_no_conflict_ack,0,-2.107425,19.173836
1,14,13,2,org,1,direct_answer_no_conflict_ack,0,-6.6142397,32.642666
1,15,14,2,org,1,direct_answer_no_conflict_ack,0,-17.105387,25.22284
1,16,15,1,new,1,direct_answer_no_conflict_ack,0,5.083652,22.28627
1,17,16,2,org,1,direct_answer_no_conflict_ack,0,-10.296293,28.567842
1,18,17,2,org,1,direct_answer_no_conflict_ack,0,-0.3376319,24.893993
1,19,18,2,org,1,direct_answer_no_conflict_ack,0,-14.256466,20.421673
1,20,19,2,org,1,direct_answer_no_conflict_ack,0,3.800106,16.06294
1,21,20,-1,neither,1,direct_answer_no_conflict_ack,0,-3.8137567,0.4992784
1,22,21,2,org,1,direct_answer_no_conflict_ack,0,-33.47386,-1.3060942
1,23,22,2,org,1,direct_answer_no_conflict_ack,0,-17.238058,-13.854433
1,24,23,2,org,1,direct_answer_no_conflict_ack,0,-20.340485,-11.495592
1,25,24,2,org,1,direct_answer_no_conflict_ack,0,3.6768012,-4.712034
1,26,25,1,new,1,direct_answer_no_conflict_ack,0,11.712482,22.125505
1,27,26,2,org,1,direct_answer_no_conflict_ack,0,-10.399357,-4.2109733
1,28,27,2,org,1,direct_answer_no_conflict_ack,0,2.26962,5.6166854
1,29,28,2,org,1,direct_answer_no_conflict_ack,0,12.825666,14.475609
1,30,29,1,new,-1,parse_failed,0,-9.116542,-9.232662
1,31,30,1,new,-1,parse_failed,0,-16.11709,-5.3460164
1,32,31,2,org,1,direct_answer_no_conflict_ack,0,-14.210402,-9.142899
1,33,32,1,new,1,direct_answer_no_conflict_ack,0,-3.7843857,4.9203653
1,34,33,-1,neither,-1,parse_failed,0,13.713351,-6.5237937
1,35,34,2,org,-1,parse_failed,0,8.623844,15.517658
1,36,35,2,org,1,direct_answer_no_conflict_ack,0,-31.748907,-1.795379
1,37,36,1,new,1,direct_answer_no_conflict_ack,0,-11.278571,-0.40456894
1,38,37,1,new,1,direct_answer_no_conflict_ack,0,-9.781609,5.5464396
1,39,38,1,new,1,direct_answer_no_conflict_ack,0,-0.119256705,2.4725804
1,40,39,1,new,-1,parse_failed,0,-2.4523907,16.45193
1,41,40,1,new,-1,parse_failed,0,26.891668,1.6537794
1,42,41,2,org,1,direct_answer_no_conflict_ack,0,33.19971,-18.686302
1,43,42,2,org,1,direct_answer_no_conflict_ack,0,19.065155,5.1551456
1,44,43,2,org,1,direct_answer_no_conflict_ack,0,30.81855,3.6094673
1,45,44,2,org,1,direct_answer_no_conflict_ack,0,33.900845,-7.3588867
1,46,45,-1,neither,1,direct_answer_no_conflict_ack,0,22.179506,-2.1325784
1,47,46,2,org,1,direct_answer_no_conflict_ack,0,35.826687,-15.148387
1,48,47,2,org,1,direct_answer_no_conflict_ack,0,22.942913,-5.2968335
1,49,48,2,org,1,direct_answer_no_conflict_ack,0,21.392311,13.1651745
1,50,49,2,org,1,direct_answer_no_conflict_ack,0,33.75834,-11.662478
1,51,50,2,org,1,direct_answer_no_conflict_ack,0,32.653034,-0.76433796
1,52,51,2,org,1,direct_answer_no_conflict_ack,0,23.124168,5.248858
1,53,52,2,org,1,direct_answer_no_conflict_ack,0,29.71952,-4.0644875
1,54,53,2,org,1,direct_answer_no_conflict_ack,0,36.46165,-5.834845
1,55,54,1,new,1,direct_answer_no_conflict_ack,0,27.002766,6.097176
1,56,55,2,org,1,direct_answer_no_conflict_ack,0,29.850239,-11.657047
1,57,56,2,org,-1,parse_failed,0,28.09722,-6.7773986
1,58,57,2,org,1,direct_answer_no_conflict_ack,0,25.739933,-3.5143857
1,59,58,2,org,1,direct_answer_no_conflict_ack,0,22.468668,10.431993
1,60,59,1,new,1,direct_answer_no_conflict_ack,0,30.609108,-14.135317
1,61,60,2,org,1,direct_answer_no_conflict_ack,0,-33.9176,7.087912
1,62,61,2,org,1,direct_answer_no_conflict_ack,0,-7.3837547,-18.996918
1,63,62,2,org,1,direct_answer_no_conflict_ack,0,0.5919698,-10.982494
1,64,63,1,new,1,direct_answer_no_conflict_ack,0,-19.684935,-8.3996315
1,65,64,2,org,1,direct_answer_no_conflict_ack,0,-16.072899,-23.023434
1,66,65,2,org,1,direct_answer_no_conflict_ack,0,-31.87508,-7.55373
1,67,66,2,org,1,direct_answer_no_conflict_ack,0,-27.258095,-14.654877
1,68,67,1,new,1,direct_answer_no_conflict_ack,0,-13.604287,-19.2664
1,69,68,2,org,-1,parse_failed,0,-31.44008,-10.993534
