conflict_type_idx,layer,n,mean_cosine_delta,frac_cosine_new,mean_centered_cosine_delta,frac_centered_cosine_new,mean_projection,frac_projection_new
1,0,100,-1.0185691239628093e-05,0.46,-0.010481140957248457,0.45,-0.001890091530525608,0.46
1,1,100,-2.84690032393764e-05,0.43,-0.005328653918874486,0.45,-0.003048651754018562,0.44
1,2,100,-3.203804479897765e-05,0.51,-0.001272717919721047,0.52,-0.001318445887826736,0.52
1,3,100,-7.689548686641734e-05,0.53,-0.000975460527726304,0.48,-0.005144925122400665,0.46
1,4,100,-0.00025415210392820464,0.46,-0.0028452930751127745,0.49,-0.014452549049742636,0.46
1,5,100,-0.000271272186253102,0.45,-0.004506168749041709,0.44,-0.01940687888719552,0.45
1,6,100,-0.00025257730720600334,0.47,-0.004521503217668963,0.47,-0.01697081120237504,0.47
1,7,100,-0.0004140845895929168,0.38,-0.004822239887446293,0.4,-0.03477749656908342,0.38
1,8,100,-0.000453915305583894,0.4,-0.005197358784912339,0.41,-0.03302262769346723,0.38
1,9,100,-0.0003727681783516801,0.4,-0.004774226947231854,0.43,-0.027965321103298066,0.41
1,10,100,-0.0002160749996504363,0.46,-0.0027445452037046856,0.44,-0.01387241895811974,0.46
1,11,100,-0.0006258855449825696,0.34,-0.00473485940017241,0.35,-0.04256735673243698,0.37
1,12,100,-0.0003252393595489866,0.42,-0.002251840514918646,0.42,-0.015486801803540033,0.42
1,13,100,-0.00014316061590453178,0.47,-0.0010721181421746483,0.46,0.006611856859617197,0.47
1,14,100,-4.389905336532163e-05,0.49,-0.00066902575833094,0.48,0.012327666319095414,0.5
1,15,100,-0.0010768837649670505,0.41,-0.004688448206183565,0.42,-0.04516741903733467,0.41
1,16,100,-0.0006603406521512611,0.48,-0.0019735022400650558,0.5,-0.01634036149790964,0.48
1,17,100,8.97728548829968e-06,0.5,0.0007919143379610871,0.51,0.004690316418927904,0.5
1,18,100,0.0005190011300713815,0.52,0.0024864848000167405,0.51,0.03470556072978155,0.52
1,19,100,-0.0005942140023517317,0.44,-0.0013133574972928575,0.43,-0.052001366946211075,0.44
1,20,100,-0.00045028313583788114,0.45,-0.0009091082774304716,0.44,-0.04408500329922549,0.45
1,21,100,-0.00026535114325365816,0.47,-0.0007930494235021224,0.47,-0.03864297536605046,0.48
1,22,100,7.324033143990772e-05,0.45,-0.00034186131641915975,0.46,-0.013878505142016504,0.45
1,23,100,-0.00038739163841136295,0.4,-0.0018243809726654148,0.41,-0.07688909109848785,0.41
