fold,n_train,n_test,accuracy,balanced_accuracy,roc_auc,feature_group,classifier_model
1,625,157,0.5095541401273885,0.5,0.5,majority_baseline,majority_baseline
2,625,157,0.5095541401273885,0.5,0.5,majority_baseline,majority_baseline
3,626,156,0.5128205128205128,0.5,0.5,majority_baseline,majority_baseline
4,626,156,0.5128205128205128,0.5,0.5,majority_baseline,majority_baseline
5,626,156,0.5064102564102564,0.5,0.5,majority_baseline,majority_baseline
1,625,157,0.6815286624203821,0.6797077922077922,0.7261363636363637,raw_cos,logistic_l2
2,625,157,0.6496815286624203,0.6482142857142856,0.6758116883116883,raw_cos,logistic_l2
3,626,156,0.717948717948718,0.7167763157894737,0.7661184210526316,raw_cos,logistic_l2
4,626,156,0.6858974358974359,0.6835526315789473,0.7455592105263157,raw_cos,logistic_l2
5,626,156,0.6602564102564102,0.6594607923721847,0.6892980437284234,raw_cos,logistic_l2
1,625,157,0.7133757961783439,0.7119318181818182,0.7402597402597403,raw_cos,linear_svm
2,625,157,0.6114649681528662,0.6104707792207792,0.6871753246753247,raw_cos,linear_svm
3,626,156,0.6602564102564102,0.6582236842105263,0.7434210526315789,raw_cos,linear_svm
4,626,156,0.6794871794871795,0.6769736842105263,0.721875,raw_cos,linear_svm
5,626,156,0.6730769230769231,0.6722834127897419,0.6881472957422325,raw_cos,linear_svm
1,625,157,0.6624203821656051,0.6612012987012987,0.7217532467532468,raw_cos,rbf_svm
2,625,157,0.6496815286624203,0.6484577922077922,0.6801948051948052,raw_cos,rbf_svm
3,626,156,0.6794871794871795,0.6782894736842104,0.7384868421052632,raw_cos,rbf_svm
4,626,156,0.6410256410256411,0.6358552631578948,0.7261513157894737,raw_cos,rbf_svm
5,626,156,0.6410256410256411,0.6399802728916653,0.7024494492848923,raw_cos,rbf_svm
1,625,157,0.6496815286624203,0.6496753246753246,0.7008116883116883,raw_cos,random_forest
2,625,157,0.643312101910828,0.6426948051948052,0.7186688311688313,raw_cos,random_forest
3,626,156,0.6346153846153846,0.6348684210526316,0.7386513157894737,raw_cos,random_forest
4,626,156,0.7115384615384616,0.7085526315789473,0.7478618421052632,raw_cos,random_forest
5,626,156,0.6217948717948718,0.6218148939667927,0.6950517836593787,raw_cos,random_forest
1,625,157,0.6496815286624203,0.6489448051948052,0.722077922077922,raw_cos,extra_trees
2,625,157,0.643312101910828,0.6434253246753247,0.7176948051948052,raw_cos,extra_trees
3,626,156,0.6602564102564102,0.6608552631578948,0.7444078947368421,raw_cos,extra_trees
4,626,156,0.6538461538461539,0.6506578947368421,0.7435855263157894,raw_cos,extra_trees
5,626,156,0.6730769230769231,0.6729409830675653,0.7073812263685682,raw_cos,extra_trees
1,625,157,0.643312101910828,0.6439123376623377,0.6900974025974026,raw_cos,gradient_boosting
2,625,157,0.6878980891719745,0.6874188311688312,0.7186688311688312,raw_cos,gradient_boosting
3,626,156,0.6794871794871795,0.6779605263157895,0.7317434210526315,raw_cos,gradient_boosting
4,626,156,0.6538461538461539,0.6513157894736843,0.7276315789473685,raw_cos,gradient_boosting
5,626,156,0.6474358974358975,0.6479533125102745,0.6861745849087622,raw_cos,gradient_boosting
1,625,157,0.6560509554140127,0.6549512987012986,0.6871753246753246,centered_cos,logistic_l2
2,625,157,0.5796178343949044,0.5784902597402597,0.6915584415584416,centered_cos,logistic_l2
3,626,156,0.6730769230769231,0.6713815789473685,0.709375,centered_cos,logistic_l2
4,626,156,0.6666666666666666,0.6644736842105263,0.7343750000000001,centered_cos,logistic_l2
5,626,156,0.6538461538461539,0.6531316784481341,0.6868321551865856,centered_cos,logistic_l2
1,625,157,0.6878980891719745,0.6876623376623376,0.6831168831168831,centered_cos,linear_svm
2,625,157,0.6305732484076433,0.6294642857142857,0.6964285714285715,centered_cos,linear_svm
3,626,156,0.6474358974358975,0.6444078947368421,0.7143092105263157,centered_cos,linear_svm
4,626,156,0.6538461538461539,0.6509868421052631,0.7245065789473684,centered_cos,linear_svm
5,626,156,0.6538461538461539,0.6534604635870458,0.6986684201874075,centered_cos,linear_svm
1,625,157,0.7006369426751592,0.6984577922077921,0.7217532467532467,centered_cos,rbf_svm
2,625,157,0.643312101910828,0.6405032467532468,0.6920454545454544,centered_cos,rbf_svm
3,626,156,0.6538461538461539,0.6503289473684211,0.6950657894736842,centered_cos,rbf_svm
4,626,156,0.6153846153846154,0.6118421052631579,0.6838815789473685,centered_cos,rbf_svm
5,626,156,0.6346153846153846,0.6334867663981587,0.7282590826894625,centered_cos,rbf_svm
1,625,157,0.6305732484076433,0.6304383116883117,0.7069805194805194,centered_cos,random_forest
2,625,157,0.643312101910828,0.6426948051948052,0.7378246753246753,centered_cos,random_forest
3,626,156,0.6025641025641025,0.600328947368421,0.6258223684210527,centered_cos,random_forest
4,626,156,0.6410256410256411,0.6394736842105263,0.7011513157894737,centered_cos,random_forest
5,626,156,0.6474358974358975,0.6469669570935394,0.708696366924215,centered_cos,random_forest
1,625,157,0.6560509554140127,0.6556818181818183,0.7105519480519481,centered_cos,extra_trees
2,625,157,0.6687898089171974,0.6686688311688311,0.7477272727272726,centered_cos,extra_trees
3,626,156,0.6089743589743589,0.6072368421052632,0.6735197368421052,centered_cos,extra_trees
4,626,156,0.6346153846153846,0.6328947368421052,0.7134868421052631,centered_cos,extra_trees
5,626,156,0.6730769230769231,0.6726121979286537,0.7433831990794016,centered_cos,extra_trees
1,625,157,0.6114649681528662,0.6109577922077922,0.675487012987013,centered_cos,gradient_boosting
2,625,157,0.6114649681528662,0.6107142857142858,0.6925324675324674,centered_cos,gradient_boosting
3,626,156,0.6346153846153846,0.6328947368421052,0.6231907894736842,centered_cos,gradient_boosting
4,626,156,0.6346153846153846,0.6335526315789474,0.6771381578947369,centered_cos,gradient_boosting
5,626,156,0.6474358974358975,0.6468025645240836,0.6886404734505999,centered_cos,gradient_boosting
1,625,157,0.6815286624203821,0.6811688311688311,0.7099025974025973,projection,logistic_l2
2,625,157,0.6178343949044586,0.6172077922077922,0.6517857142857143,projection,logistic_l2
3,626,156,0.6666666666666666,0.6667763157894737,0.7271381578947369,projection,logistic_l2
4,626,156,0.6794871794871795,0.6789473684210526,0.7542763157894736,projection,logistic_l2
5,626,156,0.6153846153846154,0.6153213874732861,0.66283084004603,projection,logistic_l2
1,625,157,0.6942675159235668,0.6934253246753247,0.722564935064935,projection,linear_svm
2,625,157,0.6560509554140127,0.6554383116883117,0.6590909090909091,projection,linear_svm
3,626,156,0.6282051282051282,0.6286184210526315,0.722861842105263,projection,linear_svm
4,626,156,0.7051282051282052,0.7036184210526315,0.7476973684210526,projection,linear_svm
5,626,156,0.6153846153846154,0.6151569949038304,0.6657899062962354,projection,linear_svm
1,625,157,0.643312101910828,0.6417207792207792,0.699512987012987,projection,rbf_svm
2,625,157,0.6178343949044586,0.6167207792207792,0.6370129870129869,projection,rbf_svm
