name,n_folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,layer,n,new_rate
layer_0,5,0.6099542707822962,0.025453845815789744,0.607632963305848,0.025652598814802786,0.6296164786246398,0.0229524056559789,0,782,0.489769820971867
layer_1,5,0.6086967172954434,0.02355273998139741,0.6068751351912579,0.023187964618438858,0.6249251959732474,0.01586057482089809,1,782,0.489769820971867
layer_2,5,0.6138249224236485,0.006126925298198524,0.6121224703011845,0.006215212847409078,0.6277746437439975,0.006569091270429431,2,782,0.489769820971867
layer_3,5,0.555005716152213,0.06682399154397542,0.5542992117808907,0.06724890994855902,0.5688462561755367,0.08759942859888128,3,782,0.489769820971867
layer_4,5,0.5511432304425934,0.07160909658605015,0.550530825769833,0.07190310468629456,0.5842699023162048,0.08134767911727617,4,782,0.489769820971867
layer_5,5,0.5626653601175894,0.06710722628398604,0.5621401208717998,0.06739657286968037,0.5928847543196311,0.07341206052750705,5,782,0.489769820971867
layer_6,5,0.5652049648864936,0.06956496806013672,0.5649348594443532,0.06992875855097157,0.6056182350294608,0.07506436497427581,6,782,0.489769820971867
layer_7,5,0.5665033480320105,0.05060576696546764,0.5661020142415879,0.0508303193719416,0.5981691426494891,0.04240625459251351,7,782,0.489769820971867
layer_8,5,0.5665115139637432,0.04496563468503553,0.5662652063126746,0.045365898885737346,0.5956818938889226,0.04013433402508511,8,782,0.489769820971867
layer_9,5,0.562681691981055,0.039588153640721685,0.562317837891622,0.04007522024583917,0.5947138866296928,0.03403607529341449,9,782,0.489769820971867
layer_10,5,0.5703658337416299,0.03667112104989324,0.5701916579423241,0.03720814771533653,0.597513751654741,0.03512318567174313,10,782,0.489769820971867
layer_11,5,0.535848440307039,0.048379605094180815,0.5350583377315555,0.04887441827378551,0.5718171327340215,0.04449710890636836,11,782,0.489769820971867
layer_12,5,0.5320431161195491,0.04045689094931682,0.5313715639789923,0.04099521823603182,0.5668789692153282,0.03428330320896302,12,782,0.489769820971867
layer_13,5,0.5346235505471174,0.03880713539909076,0.5339044749387855,0.03963415910556464,0.5609914332003771,0.03685935819766224,13,782,0.489769820971867
layer_14,5,0.5217867058631389,0.03148675694113012,0.5211241964231638,0.03163784618981037,0.5557931995552747,0.03641720681953917,14,782,0.489769820971867
layer_15,5,0.5460395231095868,0.03791132856612414,0.5428349498602664,0.036986156920677686,0.55031797524594,0.05092253541853628,15,782,0.489769820971867
layer_16,5,0.5498693450922749,0.028755931776218446,0.5461757205153275,0.028311152215109776,0.5435920749803161,0.03777831012402755,16,782,0.489769820971867
layer_17,5,0.5332108443573412,0.03499734859618945,0.5304810213104684,0.03476158602742001,0.5445053514107479,0.04437777743682638,17,782,0.489769820971867
layer_18,5,0.5460395231095868,0.02060568551043886,0.5440272286008463,0.02163458848654411,0.557991236361906,0.030441091203150045,18,782,0.489769820971867
layer_19,5,0.5409766454352443,0.03388982926114092,0.5388825198785226,0.034461182213168476,0.5473908952473242,0.03228403403404123,19,782,0.489769820971867
layer_20,5,0.5282051282051281,0.03412955783591539,0.5259100318402451,0.034364353998216884,0.5461010300492312,0.046309748982807736,20,782,0.489769820971867
layer_21,5,0.5231095868038543,0.04725890569430462,0.5198125275790166,0.048101773198910014,0.5372820987307163,0.04807591241774406,21,782,0.489769820971867
layer_22,5,0.5435652457945452,0.04030011410537221,0.5407637981605337,0.040837757295878775,0.567505267051403,0.04914184762509661,22,782,0.489769820971867
layer_23,5,0.5435652457945452,0.03276491705934923,0.5405810195800203,0.03296111195177753,0.5679909822023413,0.05146060006855981,23,782,0.489769820971867
layer_24,5,0.5346153846153845,0.03731480561691131,0.5315875130865138,0.037925852610009414,0.5591988403834673,0.049811754012126654,24,782,0.489769820971867
layer_25,5,0.5371386575208231,0.03306240194501255,0.5337269525943744,0.034024984291162345,0.5633412248976872,0.04634885854020959,25,782,0.489769820971867
layer_26,5,0.5499346725461376,0.03963485356624606,0.5466348841032386,0.03959314424554641,0.5818282562707113,0.04315592713527824,26,782,0.489769820971867
layer_27,5,0.5383962110076761,0.016545248779575316,0.5351268202150947,0.01691600078141512,0.5748519601650848,0.037107000633925344,27,782,0.489769820971867
layer_28,5,0.532051282051282,0.037438704249474104,0.5287283153222526,0.038034023819414196,0.5554705466918157,0.03017084679208107,28,782,0.489769820971867
layer_29,5,0.5345745549567205,0.023739513126449712,0.531507198664094,0.024032877855976596,0.563969766908641,0.03850962689833701,29,782,0.489769820971867
layer_30,5,0.5396864282214601,0.02489144569540542,0.5370954753108317,0.023498156535898863,0.5699642229855421,0.03586712896557923,30,782,0.489769820971867
layer_31,5,0.5383880450759431,0.025529483198466454,0.5353995063896796,0.025418020901901456,0.565257544753714,0.036745275127999875,31,782,0.489769820971867
