layer,n,mean_cosine_delta,median_cosine_delta,frac_cosine_new,mean_centered_cosine_delta,median_centered_cosine_delta,frac_centered_cosine_new,mean_projection,median_projection,frac_projection_new,mean_normalized_projection
0,864,-6.027406594850137e-07,2.3055177211794842e-07,0.5115740740740741,-0.0010882680139236475,0.0008009445795560954,0.5208333333333334,0.0003304845758472052,0.00023690233706499748,0.5057870370370371,0.03691941163321878
1,864,-1.3780994396055226e-06,-2.4258803299481713e-09,0.5,0.0011677351341914388,0.002190834362170435,0.5428240740740741,0.0011152876185790835,0.0015237406437086964,0.5266203703703703,0.036462703533158065
2,864,-2.350844971559785e-06,-2.026674546518059e-07,0.4976851851851852,0.0023370364822881398,0.0011156195857235929,0.5231481481481481,0.0019429382972707726,0.0014085314706216527,0.5162037037037037,0.042801502845100085
3,864,-0.0001588258911550645,-4.756301824693221e-05,0.38078703703703703,-0.013153975535066474,-0.00316942419566163,0.39351851851851855,-0.03332471900076861,-0.026368139249144135,0.37962962962962965,-0.16782875730963231
4,864,-0.00021700003513929142,-8.854371968280983e-05,0.36921296296296297,-0.012388091719710668,-0.003965586906144902,0.3611111111111111,-0.048712855204567515,-0.044406265728522853,0.36342592592592593,-0.18190989122011894
5,864,-0.00017492202401224032,-6.76847902700839e-05,0.3715277777777778,-0.012871945730137278,-0.004260535085912176,0.36921296296296297,-0.047741123865752084,-0.04385786928715046,0.3680555555555556,-0.1743638357462078
6,864,-0.0001845202787243922,-6.78339931783345e-05,0.3819444444444444,-0.012059348791334037,-0.003968067493790639,0.39467592592592593,-0.04526798844103843,-0.03849035664409667,0.38078703703703703,-0.16289379071316484
7,864,-0.000416009218212104,-0.0001725765375187316,0.33101851851851855,-0.01542175817473469,-0.00569755338445177,0.33217592592592593,-0.08700973965592257,-0.08577005052367206,0.3414351851851852,-0.20449014582480687
8,864,-0.0006075648333031404,-0.000267943698393891,0.33564814814814814,-0.015681482254983024,-0.005706116223680946,0.33564814814814814,-0.11301190330273486,-0.1109427680933408,0.33564814814814814,-0.20945307661679283
9,864,-0.000428912911934324,-0.00018453397650947112,0.3425925925925926,-0.014691068970891478,-0.005498258974276915,0.35185185185185186,-0.1047565070627334,-0.10620382908902114,0.34375,-0.18667767616638317
10,864,-0.0003724986036572749,-0.0001671374185636676,0.3587962962962963,-0.012346389589291216,-0.004803166785822599,0.3819444444444444,-0.08559402173089972,-0.0884908281732846,0.36921296296296297,-0.1504970836049207
11,864,-0.000687347482512021,-0.00023980719102412174,0.35300925925925924,-0.014325300005740952,-0.004716173700204052,0.3645833333333333,-0.13464414380397524,-0.11268134133078875,0.3611111111111111,-0.14542768465588063
12,864,-0.0006644143476132691,-0.00013779416867182315,0.42592592592592593,-0.008968579277177693,-0.001987706687050228,0.4363425925925926,-0.0916101197372632,-0.06406684744042969,0.43287037037037035,-0.057565413187316235
13,864,-0.0004701954127018858,-1.3952405494288556e-05,0.4930555555555556,-0.0035503992233592175,1.4094617774018658e-05,0.5011574074074074,-0.015535316578643968,-0.0014945217786188777,0.4988425925925926,0.024099648279220592
14,864,-0.00028075148415520034,2.304518316087467e-05,0.5092592592592593,-0.0014272078462717634,0.0007872059859200253,0.5243055555555556,0.020368200928768784,0.026644212589510795,0.5185185185185185,0.05285887924413367
15,864,-0.0011428800711477613,-0.00015328425006416735,0.45949074074074076,-0.005990801178612848,-0.0011081458104820752,0.4652777777777778,-0.11230310607899423,-0.09490598688136434,0.46064814814814814,-0.024792416723022986
16,864,-0.0002159895614707489,-0.00013652194089563974,0.47453703703703703,0.0005233831770510136,-0.0010014115416897562,0.4710648148148148,-0.029680023525594117,-0.05870697850614813,0.48148148148148145,-0.005440637610354109
17,864,0.00046735269782299224,-0.00012293467193091878,0.4791666666666667,0.003533469252589072,-0.0009860110448164372,0.4849537037037037,0.061148842139990306,-0.04963260120192212,0.4849537037037037,0.02009279902636884
18,864,0.0012319024679347435,0.0001516391913031767,0.5150462962962963,0.006461785614298856,0.0009516807686580919,0.5196759259259259,0.20425564519299594,0.059988283054106195,0.5138888888888888,0.06230849242374636
19,864,0.0014240764666523203,0.00018281764992944538,0.5138888888888888,0.00543231576181545,0.0006772349796259625,0.5115740740740741,0.20255341052493991,0.09538029843977458,0.5127314814814815,0.04261413749773002
