model,conflict_type_idx,layer,n,mean_delta_norm,median_delta_norm,mean_cos,median_cos,mean_relative_delta,median_relative_delta
Qwen/Qwen3.5-4B,1,0,100,0.7149584889411926,0.7158100605010986,0.9630811214447021,0.9632707834243774,0.2894810438156128,0.28944170475006104
Qwen/Qwen3.5-4B,1,1,100,1.197634220123291,1.198915719985962,0.9217839241027832,0.9219104647636414,0.4002643823623657,0.4008786678314209
Qwen/Qwen3.5-4B,1,2,100,1.6230045557022095,1.6216790676116943,0.8682087659835815,0.8683871626853943,0.515883207321167,0.5158316493034363
Qwen/Qwen3.5-4B,1,3,100,2.511568069458008,2.51004695892334,0.801564633846283,0.8013850450515747,0.6339507699012756,0.6339668035507202
Qwen/Qwen3.5-4B,1,4,100,3.6651883125305176,3.666806221008301,0.655982494354248,0.6559094190597534,0.8316056132316589,0.8319559693336487
Qwen/Qwen3.5-4B,1,5,100,3.944925546646118,3.9383459091186523,0.6554744839668274,0.6553980112075806,0.8302813768386841,0.8303500413894653
Qwen/Qwen3.5-4B,1,6,100,4.155587196350098,4.144573211669922,0.6262863278388977,0.6269338130950928,0.8664555549621582,0.8661278486251831
Qwen/Qwen3.5-4B,1,7,100,4.6772074699401855,4.667635917663574,0.6387791037559509,0.6406033039093018,0.8537805080413818,0.8520185351371765
Qwen/Qwen3.5-4B,1,8,100,5.268376350402832,5.26458740234375,0.5706682801246643,0.5715067386627197,0.9275211095809937,0.9272271394729614
Qwen/Qwen3.5-4B,1,9,100,5.3836283683776855,5.368071556091309,0.5607230067253113,0.5614928007125854,0.9372760057449341,0.9366761445999146
Qwen/Qwen3.5-4B,1,10,100,5.776538848876953,5.773245811462402,0.5314818024635315,0.5300852060317993,0.9680455923080444,0.96952885389328
Qwen/Qwen3.5-4B,1,11,100,6.001000881195068,6.015468597412109,0.5603845119476318,0.5595859289169312,0.9389280080795288,0.9399243593215942
Qwen/Qwen3.5-4B,1,12,100,6.588351249694824,6.59409236907959,0.5269516110420227,0.5271281003952026,0.9735279679298401,0.9736965298652649
Qwen/Qwen3.5-4B,1,13,100,7.267302989959717,7.2749128341674805,0.5206534266471863,0.5186270475387573,0.9795005321502686,0.9816799163818359
Qwen/Qwen3.5-4B,1,14,100,7.446519374847412,7.440954208374023,0.5081450939178467,0.5074945092201233,0.992819607257843,0.9936577081680298
Qwen/Qwen3.5-4B,1,15,100,8.864211082458496,8.90058708190918,0.5029049515724182,0.4964248538017273,0.9988942742347717,1.0049035549163818
Qwen/Qwen3.5-4B,1,16,100,9.327929496765137,9.340226173400879,0.5248640179634094,0.5185383558273315,0.9771549701690674,0.9830852746963501
Qwen/Qwen3.5-4B,1,17,100,9.825462341308594,9.817709922790527,0.5409316420555115,0.5393719673156738,0.9646981954574585,0.9673864245414734
Qwen/Qwen3.5-4B,1,18,100,10.404031753540039,10.421754837036133,0.607272744178772,0.6025002002716064,0.8903257250785828,0.8958113193511963
Qwen/Qwen3.5-4B,1,19,100,12.709424018859863,12.751070022583008,0.6206802129745483,0.6074836850166321,0.8697426319122314,0.8865389823913574
Qwen/Qwen3.5-4B,1,20,100,14.679491996765137,14.818791389465332,0.6548935174942017,0.6436702013015747,0.8297791481018066,0.8444119095802307
Qwen/Qwen3.5-4B,1,21,100,16.378705978393555,16.59090232849121,0.6667674779891968,0.6600548624992371,0.8153397440910339,0.826040506362915
Qwen/Qwen3.5-4B,1,22,100,18.383712768554688,18.52968978881836,0.6762562394142151,0.6715439558029175,0.8028315901756287,0.8108409643173218
Qwen/Qwen3.5-4B,1,23,100,19.590795516967773,19.8573055267334,0.6579383611679077,0.6556158065795898,0.8252005577087402,0.8309811353683472
Qwen/Qwen3.5-4B,1,24,100,20.908693313598633,21.25669288635254,0.6734880805015564,0.6681610345840454,0.8063868880271912,0.8150194883346558
Qwen/Qwen3.5-4B,1,25,100,21.887683868408203,21.83064842224121,0.6808595061302185,0.6793045401573181,0.7969032526016235,0.8020288944244385
Qwen/Qwen3.5-4B,1,26,100,22.7049503326416,22.344314575195312,0.7267659902572632,0.7317785620689392,0.7376506328582764,0.7342959642410278
Qwen/Qwen3.5-4B,1,27,100,24.86056137084961,24.49332618713379,0.688981831073761,0.6926722526550293,0.7876709699630737,0.7883416414260864
Qwen/Qwen3.5-4B,1,28,100,27.452735900878906,26.771326065063477,0.6795305013656616,0.691490888595581,0.7981418371200562,0.7915862798690796
Qwen/Qwen3.5-4B,1,29,100,29.676246643066406,28.961429595947266,0.6804648041725159,0.694383978843689,0.7953687906265259,0.7847203612327576
Qwen/Qwen3.5-4B,1,30,100,32.701656341552734,31.68008041381836,0.6916975975036621,0.7121219635009766,0.7792677879333496,0.7588114738464355
Qwen/Qwen3.5-4B,1,31,100,131.85955810546875,130.52517700195312,0.6318777203559875,0.6408122777938843,0.8529341220855713,0.8496321439743042
Qwen/Qwen3.5-4B,2,0,99,0.737882673740387,0.7388008832931519,0.9602975845336914,0.9606221914291382,0.3011264503002167,0.3012925386428833
Qwen/Qwen3.5-4B,2,1,99,1.2278939485549927,1.2314677238464355,0.9167285561561584,0.9163755178451538,0.41250360012054443,0.4124657213687897
Qwen/Qwen3.5-4B,2,2,99,1.6405798196792603,1.6346989870071411,0.8635509014129639,0.8640453219413757,0.5250142216682434,0.5241438746452332
Qwen/Qwen3.5-4B,2,3,99,2.5497164726257324,2.548966884613037,0.795008659362793,0.7956417798995972,0.6433364748954773,0.6435903906822205
Qwen/Qwen3.5-4B,2,4,99,3.6599395275115967,3.651041269302368,0.6546293497085571,0.6540878415107727,0.8326008319854736,0.8323115706443787
Qwen/Qwen3.5-4B,2,5,99,3.912858486175537,3.910921096801758,0.6613900065422058,0.6621748208999634,0.8231201767921448,0.8219798803329468
Qwen/Qwen3.5-4B,2,6,99,4.080212116241455,4.075664520263672,0.633184552192688,0.6345875263214111,0.8594757914543152,0.8577456474304199
Qwen/Qwen3.5-4B,2,7,99,4.612680912017822,4.601195812225342,0.6383795142173767,0.639783501625061,0.8538088798522949,0.8516365885734558
Qwen/Qwen3.5-4B,2,8,99,5.127021312713623,5.110215187072754,0.5730206966400146,0.576776921749115,0.9247927665710449,0.9211429953575134
Qwen/Qwen3.5-4B,2,9,99,5.221476078033447,5.212811470031738,0.5628060102462769,0.5646766424179077,0.9350343942642212,0.9332531094551086
Qwen/Qwen3.5-4B,2,10,99,5.624215126037598,5.6096930503845215,0.5350348353385925,0.5357574820518494,0.9642199873924255,0.9639342427253723
Qwen/Qwen3.5-4B,2,11,99,5.816036224365234,5.818479537963867,0.5631746649742126,0.5648483633995056,0.935209333896637,0.9347440600395203
Qwen/Qwen3.5-4B,2,12,99,6.327004909515381,6.327768325805664,0.5332339406013489,0.536573052406311,0.9665259122848511,0.9635187387466431
Qwen/Qwen3.5-4B,2,13,99,6.946707248687744,6.941134929656982,0.5343087315559387,0.5391529202461243,0.9653922319412231,0.9602354168891907
Qwen/Qwen3.5-4B,2,14,99,7.0854573249816895,7.08794641494751,0.5214233994483948,0.5217666029930115,0.9784287810325623,0.9784438014030457
Qwen/Qwen3.5-4B,2,15,99,8.52241325378418,8.512283325195312,0.5060980319976807,0.5057428479194641,0.9950894713401794,0.9955923557281494
Qwen/Qwen3.5-4B,2,16,99,9.036641120910645,9.02375602722168,0.5261704921722412,0.5301830768585205,0.974849283695221,0.971271276473999
Qwen/Qwen3.5-4B,2,17,99,9.493691444396973,9.463614463806152,0.5463545918464661,0.5493724346160889,0.9563982486724854,0.9558167457580566
Qwen/Qwen3.5-4B,2,18,99,10.508166313171387,10.472941398620605,0.5935919880867004,0.5982025265693665,0.9058947563171387,0.9040472507476807
Qwen/Qwen3.5-4B,2,19,99,12.512212753295898,12.67869758605957,0.6238479018211365,0.6148433685302734,0.8666886687278748,0.8788959980010986
Qwen/Qwen3.5-4B,2,20,99,14.471863746643066,14.66995620727539,0.6488052606582642,0.6415267586708069,0.8378584980964661,0.8485556244850159
Qwen/Qwen3.5-4B,2,21,99,16.209644317626953,16.454633712768555,0.6586503982543945,0.660535454750061,0.8256067633628845,0.8270012736320496
Qwen/Qwen3.5-4B,2,22,99,18.141389846801758,18.23740577697754,0.6671139001846313,0.6637888550758362,0.8142220377922058,0.8203861713409424
Qwen/Qwen3.5-4B,2,23,99,19.145034790039062,19.209156036376953,0.6526647210121155,0.6547737121582031,0.8303611874580383,0.8309347033500671
Qwen/Qwen3.5-4B,2,24,99,20.377817153930664,20.33987808227539,0.6680721044540405,0.6730722188949585,0.8111474514007568,0.8109685778617859
Qwen/Qwen3.5-4B,2,25,99,21.108224868774414,21.110424041748047,0.6813514232635498,0.6824439167976379,0.7946019172668457,0.7976068258285522
Qwen/Qwen3.5-4B,2,26,99,21.750179290771484,21.471548080444336,0.7267742156982422,0.7330250144004822,0.739312469959259,0.736350417137146
Qwen/Qwen3.5-4B,2,27,99,24.05967903137207,23.896883010864258,0.6942916512489319,0.7022356986999512,0.7788361310958862,0.7790099382400513
Qwen/Qwen3.5-4B,2,28,99,26.74407386779785,26.58039093017578,0.6895194053649902,0.6960108280181885,0.7844133377075195,0.7799263000488281
Qwen/Qwen3.5-4B,2,29,99,29.059804916381836,28.959449768066406,0.6861414909362793,0.6917060613632202,0.787925124168396,0.7866571545600891
Qwen/Qwen3.5-4B,2,30,99,32.05636215209961,31.591407775878906,0.700190544128418,0.7079962491989136,0.7697668075561523,0.764536440372467
Qwen/Qwen3.5-4B,2,31,99,129.82769775390625,131.0816192626953,0.623949408531189,0.6267508864402771,0.8637765645980835,0.8653003573417664
Qwen/Qwen3.5-4B,3,0,98,0.7323374152183533,0.7311897277832031,0.9608690142631531,0.961368203163147,0.2982950508594513,0.2979845404624939
Qwen/Qwen3.5-4B,3,1,98,1.221989393234253,1.2233681678771973,0.9176093935966492,0.9174473285675049,0.4102447032928467,0.41109535098075867
Qwen/Qwen3.5-4B,3,2,98,1.6283977031707764,1.6315250396728516,0.8656163215637207,0.8657201528549194,0.5212880969047546,0.5210238695144653
Qwen/Qwen3.5-4B,3,3,98,2.562878370285034,2.5662388801574707,0.7926768064498901,0.7916746139526367,0.6467236280441284,0.6485459804534912
Qwen/Qwen3.5-4B,3,4,98,3.6951282024383545,3.6965036392211914,0.6522579789161682,0.651201605796814,0.8353826403617859,0.8368409872055054
Qwen/Qwen3.5-4B,3,5,98,3.9104886054992676,3.920710563659668,0.662510871887207,0.6612299680709839,0.8218052983283997,0.8237630724906921
Qwen/Qwen3.5-4B,3,6,98,4.085311412811279,4.089883327484131,0.6317654252052307,0.6306614279747009,0.8607315421104431,0.8617817163467407
Qwen/Qwen3.5-4B,3,7,98,4.612728118896484,4.596305847167969,0.6379563212394714,0.6374607086181641,0.8540645241737366,0.8540447354316711
Qwen/Qwen3.5-4B,3,8,98,5.122930526733398,5.110164642333984,0.5733197331428528,0.5742059946060181,0.9245272278785706,0.923983097076416
Qwen/Qwen3.5-4B,3,9,98,5.226634979248047,5.229811668395996,0.5616048574447632,0.5619168281555176,0.9363152384757996,0.93660569190979
Qwen/Qwen3.5-4B,3,10,98,5.657294273376465,5.656768798828125,0.5330996513366699,0.5319532155990601,0.9663586616516113,0.9675765037536621
Qwen/Qwen3.5-4B,3,11,98,5.832744598388672,5.839222431182861,0.5649550557136536,0.5676042437553406,0.9334259033203125,0.930677056312561
Qwen/Qwen3.5-4B,3,12,98,6.333259582519531,6.346047878265381,0.537352442741394,0.5377516746520996,0.9622350335121155,0.9617918729782104
Qwen/Qwen3.5-4B,3,13,98,6.979243278503418,6.983885765075684,0.536986231803894,0.5396735668182373,0.9625576734542847,0.9599660634994507
Qwen/Qwen3.5-4B,3,14,98,7.09248685836792,7.096875190734863,0.523711085319519,0.5246546864509583,0.976246178150177,0.9756982326507568
Qwen/Qwen3.5-4B,3,15,98,8.486015319824219,8.482253074645996,0.5205552577972412,0.516941487789154,0.9812914133071899,0.9835957288742065
Qwen/Qwen3.5-4B,3,16,98,8.976640701293945,8.977479934692383,0.5406435132026672,0.5407521724700928,0.9602149724960327,0.9607842564582825
Qwen/Qwen3.5-4B,3,17,98,9.318453788757324,9.3207368850708,0.5666330456733704,0.5683679580688477,0.9354541301727295,0.9354217052459717
Qwen/Qwen3.5-4B,3,18,98,9.987289428710938,9.942573547363281,0.6287224888801575,0.6322299242019653,0.8665900826454163,0.864178478717804
Qwen/Qwen3.5-4B,3,19,98,11.85453987121582,11.601150512695312,0.6768491268157959,0.6840652227401733,0.8076874613761902,0.8030324578285217
Qwen/Qwen3.5-4B,3,20,98,13.687674522399902,13.529853820800781,0.6951920390129089,0.7027233839035034,0.7850663065910339,0.7795794606208801
Qwen/Qwen3.5-4B,3,21,98,15.116206169128418,14.908119201660156,0.7041534781455994,0.7097491025924683,0.7726066708564758,0.7688788771629333
Qwen/Qwen3.5-4B,3,22,98,16.7128963470459,16.48871612548828,0.7195696830749512,0.725914478302002,0.7510002255439758,0.7446757555007935
Qwen/Qwen3.5-4B,3,23,98,17.70840835571289,17.44168472290039,0.6992846727371216,0.7059636116027832,0.7747980952262878,0.7681643962860107
Qwen/Qwen3.5-4B,3,24,98,18.884267807006836,18.523193359375,0.7126907110214233,0.7220641374588013,0.7568020820617676,0.7466663122177124
Qwen/Qwen3.5-4B,3,25,98,19.843345642089844,19.23206329345703,0.724379301071167,0.7344589829444885,0.7420269846916199,0.7302323579788208
