model,layer,n,dim,cum_var_top1,cum_var_top2,cum_var_top3,cum_var_top5,cum_var_top10
Qwen/Qwen3.5-4B,0,861,2560,0.20340676605701447,0.27941012382507324,0.353405237197876,0.4501032829284668,0.5858374834060669
Qwen/Qwen3.5-4B,8,861,2560,0.1823936104774475,0.30584588646888733,0.37254798412323,0.4703093469142914,0.5957139730453491
Qwen/Qwen3.5-4B,16,861,2560,0.1507495492696762,0.23903000354766846,0.31203120946884155,0.4063650369644165,0.5314978361129761
Qwen/Qwen3.5-4B,30,861,2560,0.12963971495628357,0.21906909346580505,0.2930169403553009,0.3731882572174072,0.48234960436820984
Qwen/Qwen3.5-4B,31,861,2560,0.12088461220264435,0.2038271278142929,0.2675696611404419,0.3399353325366974,0.44990232586860657
Qwen/Qwen3.5-9B,0,862,4096,0.33600202202796936,0.4765983819961548,0.5920668840408325,0.6759600639343262,0.7624276280403137
Qwen/Qwen3.5-9B,8,862,4096,0.14037589728832245,0.24968907237052917,0.3185703754425049,0.4191480576992035,0.5481578707695007
Qwen/Qwen3.5-9B,16,862,4096,0.12116333842277527,0.21209460496902466,0.2868135869503021,0.3858843743801117,0.4948178231716156
Qwen/Qwen3.5-9B,30,862,4096,0.10555332154035568,0.18648242950439453,0.25975388288497925,0.3313729166984558,0.4234788119792938
Qwen/Qwen3.5-9B,31,862,4096,0.11824879795312881,0.18711890280246735,0.23389184474945068,0.29726824164390564,0.3999999463558197
google/gemma-4-E4B-it,0,843,2560,0.2677834928035736,0.37981244921684265,0.46509498357772827,0.5658003091812134,0.7129409313201904
google/gemma-4-E4B-it,10,843,2560,0.3237161338329315,0.4317711293697357,0.5059998035430908,0.6142926216125488,0.7312697768211365
google/gemma-4-E4B-it,21,843,2560,0.19587767124176025,0.2858082354068756,0.3709617257118225,0.45726627111434937,0.5779237151145935
google/gemma-4-E4B-it,40,843,2560,0.15071137249469757,0.24537327885627747,0.3031874895095825,0.3798719644546509,0.487638920545578
google/gemma-4-E4B-it,41,843,2560,0.13545994460582733,0.20373302698135376,0.24562254548072815,0.3097628057003021,0.40325766801834106
