model,layer,target,n,class_balance,balanced_accuracy,auc
Qwen/Qwen3.5-4B,0,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,1,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,2,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,3,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,4,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,5,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,6,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,7,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,8,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,9,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,10,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,11,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,12,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,13,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,14,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,15,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,16,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,17,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,18,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,19,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,20,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,21,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,22,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,23,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,24,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,25,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,26,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,27,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,28,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,29,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,30,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-4B,31,thinking_mode,1725,"{0: 864, 1: 861}",1.0,1.0
Qwen/Qwen3.5-9B,0,thinking_mode,1726,"{0: 864, 1: 862}",0.9994199535962878,1.0
Qwen/Qwen3.5-9B,1,thinking_mode,1726,"{0: 864, 1: 862}",1.0,1.0
Qwen/Qwen3.5-9B,2,thinking_mode,1726,"{0: 864, 1: 862}",1.0,1.0
Qwen/Qwen3.5-9B,3,thinking_mode,1726,"{0: 864, 1: 862}",1.0,1.0
Qwen/Qwen3.5-9B,4,thinking_mode,1726,"{0: 864, 1: 862}",1.0,1.0
Qwen/Qwen3.5-9B,5,thinking_mode,1726,"{0: 864, 1: 862}",1.0,1.0
Qwen/Qwen3.5-9B,6,thinking_mode,1726,"{0: 864, 1: 862}",1.0,1.0
Qwen/Qwen3.5-9B,7,thinking_mode,1726,"{0: 864, 1: 862}",1.0,1.0
