model,layer,type_a,type_b,cosine
Qwen/Qwen3.5-4B,16,1,1,1.0
Qwen/Qwen3.5-4B,16,1,2,0.9358630776405334
Qwen/Qwen3.5-4B,16,1,3,0.9076178669929504
Qwen/Qwen3.5-4B,16,1,4,0.9393013715744019
Qwen/Qwen3.5-4B,16,1,5,0.7818792462348938
Qwen/Qwen3.5-4B,16,1,6,0.9139782786369324
Qwen/Qwen3.5-4B,16,1,7,0.9611362814903259
Qwen/Qwen3.5-4B,16,1,8,0.948535680770874
Qwen/Qwen3.5-4B,16,1,9,0.9261986613273621
Qwen/Qwen3.5-4B,16,2,1,0.9358630776405334
Qwen/Qwen3.5-4B,16,2,2,0.9999999403953552
Qwen/Qwen3.5-4B,16,2,3,0.9815528392791748
Qwen/Qwen3.5-4B,16,2,4,0.9874130487442017
Qwen/Qwen3.5-4B,16,2,5,0.8686189651489258
Qwen/Qwen3.5-4B,16,2,6,0.9607794284820557
Qwen/Qwen3.5-4B,16,2,7,0.9291532039642334
Qwen/Qwen3.5-4B,16,2,8,0.9558252692222595
Qwen/Qwen3.5-4B,16,2,9,0.9281063079833984
Qwen/Qwen3.5-4B,16,3,1,0.9076178669929504
Qwen/Qwen3.5-4B,16,3,2,0.9815528392791748
Qwen/Qwen3.5-4B,16,3,3,1.0
Qwen/Qwen3.5-4B,16,3,4,0.988351047039032
Qwen/Qwen3.5-4B,16,3,5,0.8650885224342346
Qwen/Qwen3.5-4B,16,3,6,0.9636136293411255
Qwen/Qwen3.5-4B,16,3,7,0.9163813591003418
Qwen/Qwen3.5-4B,16,3,8,0.9550595283508301
Qwen/Qwen3.5-4B,16,3,9,0.9378789663314819
Qwen/Qwen3.5-4B,16,4,1,0.9393013715744019
Qwen/Qwen3.5-4B,16,4,2,0.9874130487442017
Qwen/Qwen3.5-4B,16,4,3,0.988351047039032
Qwen/Qwen3.5-4B,16,4,4,0.9999998807907104
Qwen/Qwen3.5-4B,16,4,5,0.8641324043273926
Qwen/Qwen3.5-4B,16,4,6,0.9651124477386475
Qwen/Qwen3.5-4B,16,4,7,0.935713529586792
Qwen/Qwen3.5-4B,16,4,8,0.965861976146698
Qwen/Qwen3.5-4B,16,4,9,0.9447474479675293
Qwen/Qwen3.5-4B,16,5,1,0.7818792462348938
Qwen/Qwen3.5-4B,16,5,2,0.8686189651489258
Qwen/Qwen3.5-4B,16,5,3,0.8650885224342346
Qwen/Qwen3.5-4B,16,5,4,0.8641324043273926
Qwen/Qwen3.5-4B,16,5,5,1.0
Qwen/Qwen3.5-4B,16,5,6,0.8737611174583435
Qwen/Qwen3.5-4B,16,5,7,0.8183170557022095
Qwen/Qwen3.5-4B,16,5,8,0.8180069327354431
Qwen/Qwen3.5-4B,16,5,9,0.81592857837677
Qwen/Qwen3.5-4B,16,6,1,0.9139782786369324
Qwen/Qwen3.5-4B,16,6,2,0.9607794284820557
Qwen/Qwen3.5-4B,16,6,3,0.9636136293411255
Qwen/Qwen3.5-4B,16,6,4,0.9651124477386475
